GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
RAB42	-1.1211227716242167	0.2622356069060503	0.5813083392176035	NA	0.262236	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CCDC170	-1.1208794822998913	0.2623391655701309	0.5811368671632557	0.262339	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ZKSCAN1	1.1207796703568427	0.26238165974581695	0.5810665250492651	NA	0.262379	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
TRMT12	1.120687339633711	0.26242097308185186	0.5810014584361458	NA	0.262422	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
SERPINA11	1.1204283593694775	0.26253126554130635	0.5808189679018944	NA	0.262531	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CDH12	1.1201032203329917	0.26266977849142836	0.5805898921527566	NA	0.26267	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
FSD1	1.1199423293025097	0.26273833857176787	0.5804765506805856	NA	0.262739	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
USP10	1.119812053981488	0.2627938615107488	0.580384783492564	NA	0.262793	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
PRTFDC1	1.1196424286568216	0.26286616743982294	0.580265306779577	0.262866	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
EPM2A	-1.1191330843859346	0.2630833673838697	0.5799066079452366	0.263082	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ANKRD53	-1.1185677779068417	0.26332457632463624	0.5795086058993169	NA	0.263324	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
SIRPB1	-1.1182497845434876	0.26346032701713196	0.5792847734485519	NA	0.26346	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
SYCP3	1.1181303090216754	0.2635113433416013	0.5792006850258928	NA	0.263511	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
OR52K1	-1.11787762349919	0.2636192630958971	0.5790228583018837	NA	0.263619	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
FBXO38	1.116611570367603	0.2641604423103473	0.5781322168978235	NA	0.264161	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
