GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
PRICKLE2	0.9112781231284279	0.9229372424538559	0.03482782896608534	0.853387	0.742972	11.0	126.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
DPH5	0.9112347275718968	0.9229435107434999	0.034824879389197816	0.716605	0.884806	8.0	33.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
UGT2B28	0.16034959946128288	0.922955	0.034819473110715905	NA	0.922955	NA	86.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
LMBR1	0.9111224493246273	0.9229597280685757	0.034817248333957475	0.634092	1.0	17.0	104.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
C20orf27	0.9111048023228782	0.9229622768797884	0.03481604900414604	0.912808	0.694667	8.0	39.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
S100B	0.16032359619570571	0.922967	0.03481382657334009	NA	0.922967	NA	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RNASE10	0.9110443722575349	0.9229710047779965	0.03481194216229199	0.717295	0.884039	5.0	34.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SIGLEC1	0.9110113046773078	0.9229757805863517	0.03480969496076733	0.829305	0.764649	56.0	381.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RNF217	0.9107439880337564	0.9230143845131613	0.03479153075522318	0.697888	0.908759	14.0	96.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ZSCAN22	0.9102428580794715	0.9230867374303254	0.03475748877093903	0.827873	0.766266	17.0	89.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
EIF4E1B	0.9095666180793452	0.9231843382535528	0.03471157189605037	0.907832	0.699012	11.0	48.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ZP1	0.9089094843407856	0.9232791436013124	0.034666974816468056	1.0	0.634794	18.0	114.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
STUM	0.15934222011563307	0.92342	0.034600723465216386	NA	0.92342	NA	22.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SC5D	0.9078323517109745	0.9234344617323791	0.03459392200825131	0.734184	0.865091	4.0	44.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
PDE6D	0.1592360957085648	0.923469	0.034577678843023894	NA	0.923469	NA	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
FDXR	0.9073580567006476	0.9235028212451905	0.03456177347837241	0.865644	0.733889	25.0	127.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SYNCRIP	0.9072898485998481	0.9235126503835585	0.034557151166734315	0.707538	0.897914	6.0	62.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MAN1B1	0.9072370525407394	0.9235202582902144	0.03455357345908868	0.75373	0.842908	33.0	181.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
DENND5A	0.9065049088468848	0.9236257351763206	0.03450397474862825	0.735686	0.863898	21.0	193.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SRRD	0.9062238023510544	0.9236662206465203	0.034484938649594364	1.0	0.635647	8.0	93.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
LCE2B	0.9061936764513399	0.9236705590261612	0.03448289881109906	0.866167	0.733873	13.0	28.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SGCG	0.9059074267949216	0.9237117774170163	0.03446351904400796	0.850089	0.74786	7.0	48.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
COPB2	0.9056795491346746	0.9237445854654045	0.034448094209446466	0.63582	1.0	8.0	105.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
BCLAF1	0.9053413734710598	0.9237932650352064	0.03442520832535423	0.865131	0.735065	8.0	117.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
POLE3	0.904890173305273	0.9238581987122293	0.03439468272224601	0.636071	1.0	3.0	20.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
TRMT1	0.9048768893763734	0.9238601101768897	0.0343937841669301	0.699275	0.909621	20.0	144.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MAGOHB	0.9042027002141588	0.9239571011074024	0.03434819239984648	0.787045	0.808454	3.0	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
EFCAB9	0.903978118861604	0.9239894012786822	0.03433301037359768	0.76724	0.829416	4.0	25.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
COPS5	0.15809940173605863	0.923994	0.034330848883087836	NA	0.923994	NA	25.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ARHGEF15	0.9038588857431031	0.9240065480666928	0.034324951096824693	0.681174	0.934268	15.0	139.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ZNF704	0.9038292001658182	0.924010816925271	0.034322944685240414	0.768523	0.828093	7.0	65.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
OR2AP1	0.9037500121584596	0.9240222039783874	0.03431759268743764	0.690607	0.921557	12.0	67.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
