GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GNA13	2.6149045849183077	0.6241851247901633	0.2046865853959772	0.286083	0.945559	7.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SLC8A1	2.614887747054575	0.6241881023737348	0.2046845136628026	0.703654	0.384437	9.0	148.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ADORA2B	2.614706975092094	0.624220070198563	0.20466227181878174	0.519048	0.521214	9.0	62.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ALG1L9P	0.9418192790982961	0.6244340000000002	0.20451345793124423	NA	0.624434	NA	31.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
STXBP6	2.613174113445644	0.6244911696812219	0.2044736981798887	0.519182	0.521479	3.0	30.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ACTRT3	2.6126851773425956	0.6245776524066984	0.20441355902686487	0.384801	0.703763	8.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
OTOAP1	0.9413164869177494	0.6245910000000001	0.20440427799646646	NA	0.624591	NA	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CD1C	2.612528375318122	0.6246053885051334	0.20439427340721217	0.969924	0.279228	16.0	76.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SLC35E4	2.6118809466576653	0.6247199150328351	0.20431464924685797	0.311401	0.869996	20.0	110.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MIR4793	0.9408426329297963	0.6247390000000002	0.20430138191036853	NA	0.624739	NA	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
STX8	0.9408138211054233	0.624748	0.20429512550219922	NA	0.624748	NA	42.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
THAP11	0.9405481316208141	0.6248309999999999	0.20423743176366654	NA	0.624831	NA	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
NLRP10	2.6110518293845777	0.6248665939480466	0.20421269257027314	0.345534	0.78438	18.0	102.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RNF141	2.610969913682649	0.6248810864056636	0.20420262014610055	0.796016	0.340497	3.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
KANK4	2.610866529347637	0.6248993772741998	0.20418990811625876	0.680918	0.398073	30.0	176.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
GCH1	2.6103560904826586	0.624989687913031	0.2041271482869871	0.350484	0.773571	5.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
