GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
STAP2,0.0024891250165739,0.110512,1.0,0.888776,0.00391122,0.00335396,0.001,0,0,0,1,1,2
ATP1A1-AS1,0.0025919169203343,0.671338,,0.0367673,0.436315,0.000669278,0.001,0,0,1,0,1,2
LOC100128568,0.0025964886350132,0.599207,,0.0679654,0.0232228,0.0076388,0.001,0,0,0,1,1,2
MEF2D,0.0027342818816873,0.384535,0.0252241363919835,0.00283254,0.20555,0.259554,0.001,0,1,1,0,0,2
COPS7A,0.0027351715415662,0.653089,0.309438563143072,0.000925542,0.261248,0.0300104,0.001,0,0,1,0,1,2
PROK2,0.0027363297724149,0.0668988,0.0449422535537976,0.00746533,0.563847,0.115941,0.001,0,1,1,0,0,2
RFX2,0.0027509636343586,0.382776,0.8527101502803,0.107702,0.00372075,0.0113007,0.001,0,0,0,1,1,2
DKKL1,0.00301184916625,0.210194,0.130108377269393,0.0064063,0.0146434,0.652722,0.001,0,0,1,1,0,2
PHF12,0.003085915749454,0.630131,0.695070482929711,0.00158832,0.00465125,0.535177,0.001,0,0,1,1,0,2
ACTR5,0.0031458613794714,0.00429963,0.720099095422582,0.537812,0.00120088,0.889308,0.001,1,0,0,1,0,2
KLHL24,0.0031929770246344,0.634404,0.0467163096619492,0.90395,0.000133697,0.50679,0.001,0,1,0,1,0,2
CNOT8,0.003266316941321,,0.0046148495732296,0.00698939,0.671529,0.449936,0.001,0,1,1,0,0,2
AARSD1,0.0033148880660027,0.315551,0.0213383911143478,0.125193,0.547508,0.00414227,0.001,0,1,0,0,1,2
COPZ2,0.0033530883336022,0.115921,0.0121756781624205,1.0,0.221284,0.00621906,0.001,0,1,0,0,1,2
CETN3,0.0033773261371577,0.227769,0.0413853281770873,0.000728813,0.440061,0.648922,0.001,0,1,1,0,0,2
ACTL6B,0.0033789956976196,0.0432416,0.755757148724269,0.671783,1.0,8.94225e-05,0.001,1,0,0,0,1,2
SRP54,0.0034270564801564,,0.0058685214445006,0.0281303,0.0959692,0.655099,0.001,0,1,1,0,0,2
MON1B,0.0034584801003134,0.0116879,0.223016451654173,0.244856,0.788028,0.00403114,0.001,1,0,0,0,1,2
MEI4,0.0036347205163968,0.0231676,0.0013658387129862,0.567288,0.229498,0.527285,0.001,1,1,0,0,0,2
GDNF,0.0036597434793539,0.158997,0.0300862947916083,0.775509,0.566628,0.00104329,0.001,0,1,0,0,1,2
RARRES2,0.0037520400113737,0.18993,0.0407680679803171,0.8215,0.0687111,0.00519439,0.001,0,1,0,0,1,2
CATSPER4,0.0038105550170794,0.00715855,0.0193465311444881,0.511111,0.140353,0.233489,0.001,1,1,0,0,0,2
DDAH1,0.0038576189861002,0.78079,0.403272128289564,0.0029055,0.558702,0.00461655,0.001,0,0,1,0,1,2
ATP6V0E2,0.003866357663096,0.153004,0.0061632381073202,0.0119098,0.650247,0.324134,0.001,0,1,1,0,0,2
OR5D18,0.0038709316866574,,0.661394561441822,0.000933872,0.0375705,0.524837,0.001,0,0,1,1,0,2
RNF10,0.0039009774694122,0.69174,0.0239702494204043,0.00098951,0.440704,0.331457,0.001,0,1,1,0,0,2
ATP6V1B2,0.0039207327184154,0.6914,0.0038051330556485,0.127867,0.0321237,0.223348,0.001,0,1,0,1,0,2
KRT40,0.0039712128790155,0.528017,0.326278819249981,0.00148935,0.0303006,0.316025,0.001,0,0,1,1,0,2
TAAR6,0.0039957298604387,0.0199455,0.779387187320938,0.00232555,0.246677,0.277894,0.001,1,0,1,0,0,2
HS3ST6,0.0041813890243854,0.238395,1.0,0.0203979,0.000680606,0.797759,0.001,0,0,1,1,0,2
PNRC2,0.0042734195423484,0.26432,0.384047368347909,0.509379,0.00265586,0.0198197,0.001,0,0,0,1,1,2
HSPB2,0.0042931336092564,0.320337,0.0458739010668017,0.279161,0.0027586,0.242067,0.001,0,1,0,1,0,2
DNAL1,0.0043472126648637,0.865379,0.284426829931244,0.00779573,0.00256126,0.567238,0.001,0,0,1,1,0,2
SPPL2C,0.0044433083875108,0.0106394,0.53336748885687,0.241426,0.183533,0.0114313,0.001,1,0,0,0,1,2
FBXL21P,0.0045805514028941,,,0.0033245,0.0440671,0.5748,0.001,0,0,1,1,0,2
PTHLH,0.004623486511074,0.709024,0.21696364764383,0.0214944,0.00156039,0.588996,0.001,0,0,1,1,0,2
ZC4H2,0.0047360206309892,,0.0204790851033073,0.731687,0.0109311,0.0970506,0.001,0,1,0,1,0,2
RNASE9,0.0047450646411,0.161529,0.575648426378019,0.569929,0.00246722,0.0241042,0.001,0,0,0,1,1,2
DMWD,0.0047700610333316,0.902915,0.0402575924296065,0.00031301,0.323122,0.863599,0.001,0,1,1,0,0,2
ANO10,0.0047833316444554,0.495078,0.0093623056693131,0.117856,0.251223,0.0232251,0.001,0,1,0,0,1,2
KLK7,0.0048263776193039,0.150837,0.297277649569584,0.0214525,0.0109103,0.307541,0.001,0,0,1,1,0,2
OR10Z1,0.0049247807659443,0.432888,0.860759574610493,0.0234587,0.0018556,0.204718,0.001,0,0,1,1,0,2
EZH2,0.0050660668120526,0.570246,0.640675112629963,0.486048,0.00419868,0.00463429,0.001,0,0,0,1,1,2
XKR3,0.0051005164818831,,0.873380435358374,0.00199187,0.491923,0.0204956,0.001,0,0,1,0,1,2
HSPB2-C11orf52,0.0055431934770007,0.095944,0.0472826388807385,0.236741,0.00490637,0.744425,0.001,0,1,0,1,0,2
ITM2A,0.0055938577202559,,,0.0112113,0.671495,0.0143294,0.001,0,0,1,0,1,2
RAPGEF3,0.0056070750247633,0.0349898,0.478966456504751,0.075918,0.00512541,0.611341,0.001,1,0,0,1,0,2
ADA2,0.0056845927417711,0.0106806,,0.840289,0.0937647,0.0240788,0.001,1,0,0,0,1,2
OR6N1,0.0056914491705941,1.0,0.0324306238211867,0.871733,0.000224506,0.641511,0.001,0,1,0,1,0,2
TNFRSF17,0.0058369476955033,0.380028,0.0229134953694557,0.305517,0.304858,0.00520281,0.001,0,1,0,0,1,2
ARL13B,0.0060140912014717,0.112192,0.123889396391467,0.0354138,0.370875,0.024114,0.001,0,0,1,0,1,2
TTC38,0.0060286022406604,1.0,0.0474220348674463,0.587748,0.000583395,0.271653,0.001,0,1,0,1,0,2
SPATA6,0.0060799480379264,0.114374,0.251521824040211,0.689855,0.0161347,0.013962,0.001,0,0,0,1,1,2
GFM2,0.0064001733793501,0.841273,0.0059137352440351,0.668109,0.00263787,0.548413,0.001,0,1,0,1,0,2
KAT2B,0.0064162296782925,0.053847,0.0165321818836168,0.0167909,0.599608,0.538419,0.001,0,1,1,0,0,2
MYO6,0.0065202392080424,0.616267,0.0052280501021306,0.543558,0.0575736,0.0489669,0.001,0,1,0,0,1,2
SRGAP2,0.0066126445850753,0.850644,0.0153755024534342,,0.175237,0.0108227,0.001,0,1,0,0,1,2
NOCT,0.0066778192139917,0.375598,0.053960531923919,0.0493071,0.548127,0.00932493,0.001,0,0,1,0,1,2
MYORG,0.006680961396651,0.388587,,0.0106698,0.133052,0.0455891,0.001,0,0,1,0,1,2
ZNF790,0.0067309281401693,0.306494,0.851852163811106,0.0163003,0.00394318,0.307826,0.001,0,0,1,1,0,2
TACC1,0.0068441137225512,0.0359108,0.0017018118719769,0.899731,0.198798,0.483937,0.001,1,1,0,0,0,2
NKX2-2,0.0072189369072371,0.133045,0.286182925732326,0.0136082,0.0110165,1.0,0.001,0,0,1,1,0,2
MISP3,0.0072946054699044,0.035538,0.0256575396421479,,,,0.001,1,1,0,0,0,2
PITHD1,0.0073738998092716,0.353026,0.145299796358246,0.193729,0.0135067,0.0438382,0.001,0,0,0,1,1,2
ITGA4,0.00739054052627,0.883414,0.819449088584793,0.0353241,0.00315342,0.073203,0.001,0,0,1,1,0,2
ATP8B2,0.0073907839007322,0.885685,0.0182950139921518,0.0837658,0.425454,0.0102225,0.001,0,1,0,0,1,2
ADORA1,0.0074433159955756,0.393778,0.012169648170344,0.768287,0.267008,0.00606611,0.001,0,1,0,0,1,2
MIDN,0.0076104558216306,0.013613,0.0932130386091454,0.0173089,0.375723,0.74597,0.001,1,0,1,0,0,2
FAH,0.0077340330180624,0.463523,0.026655854549832,0.000728395,0.763919,0.916285,0.001,0,1,1,0,0,2
DPYD,0.0079059137535135,0.0201088,0.1405714959609,0.0135469,0.584888,0.290267,0.001,1,0,1,0,0,2
CASKIN1,0.0079145007104594,0.610232,0.51886148992678,0.456123,0.00101513,0.044414,0.001,0,0,0,1,1,2
ZGLP1,0.008028806750336,0.567842,0.0254044986672387,0.475559,0.454885,0.00212991,0.001,0,1,0,0,1,2
PAQR5,0.0081252715993149,0.573081,0.0232778522782012,0.0528535,0.019961,0.480438,0.001,0,1,0,1,0,2
AGAP3,0.008166079295742,0.0264047,1.0,0.004925,0.139272,0.376033,0.001,1,0,1,0,0,2
RIC8A,0.0083023871906896,0.532174,0.403520005888458,0.0100792,0.0105012,0.306849,0.001,0,0,1,1,0,2
TMEM33,0.0083102288938737,0.0158192,0.488263181722617,0.677601,0.0056433,0.236457,0.001,1,0,0,1,0,2
SPATC1,0.0087149704748589,0.426345,0.0300595299357613,0.00192162,0.749865,0.404975,0.001,0,1,1,0,0,2
CLEC5A,0.0087239050868157,0.00457688,0.0433878131586742,0.612902,,0.296139,0.001,1,1,0,0,0,2
ADM,0.008731785882112,0.878728,0.0469915381208366,0.143923,0.34038,0.00370732,0.001,0,1,0,0,1,2
RTN4RL1,0.008735897004534,0.698584,0.0322203037627434,0.0830837,0.00553479,0.725033,0.001,0,1,0,1,0,2
SOHLH1,0.0087869468013937,0.108325,0.0426836902003719,0.619138,0.667558,0.00396007,0.001,0,1,0,0,1,2
DSEL,0.0088010410236089,0.0140313,0.0783206614127355,0.0421789,0.176178,0.928864,0.001,1,0,1,0,0,2
IQUB,0.0089081593631898,0.0282682,0.0713635944913538,0.00963411,0.759164,0.523151,0.001,1,0,1,0,0,2
TAMM41,0.0089566906126685,0.0195391,0.240644506070229,0.0138075,0.5013,0.239034,0.001,1,0,1,0,0,2
NAA25,0.0090067589672786,0.437336,0.0014834592319187,0.606424,0.0485491,0.41058,0.001,0,1,0,1,0,2
H2BC12,0.0091746824346257,0.0640072,,0.0382765,0.435463,0.0361756,0.001,0,0,1,0,1,2
ZNF567,0.0092902808538569,0.211196,0.0492277223243989,0.0257444,0.22354,0.137073,0.001,0,1,1,0,0,2
LOC102724708,0.0093151793085829,0.0216884,,0.663411,0.260288,0.0105205,0.001,1,0,0,0,1,2
SLC25A46,0.0093971587400307,0.0431455,0.104224673201507,0.0130076,0.270559,0.526868,0.001,1,0,1,0,0,2
ZNF207,0.0094465817389869,0.163898,0.0261078543662334,0.763257,0.00278477,0.923755,0.001,0,1,0,1,0,2
ABCD2,0.0094474597315629,0.699657,0.028975907299881,0.00142235,0.437686,0.665777,0.001,0,1,1,0,0,2
CLCN3,0.0096707682902455,0.226999,0.699888020908755,0.0490983,0.152975,0.00728391,0.001,0,0,1,0,1,2
CFI,0.0098886384412617,0.292949,0.003706706126469,0.0269958,0.660731,0.46347,0.001,0,1,1,0,0,2
SLC5A12,0.0101282077055028,0.320016,0.0294113025026895,0.136132,0.0129473,0.560244,0.001,0,1,0,1,0,2
PCP4L1,0.0104542044198392,,0.0181124912468491,0.0133019,0.485797,0.393961,0.001,0,1,1,0,0,2
ZNHIT6,0.010663242014315,0.0190819,0.805924619524727,0.277622,0.00532209,0.440799,0.001,1,0,0,1,0,2
POU6F2,0.0111720757788698,0.053885,0.311353012525785,0.0279487,0.032531,0.702759,0.001,0,0,1,1,0,2
CAPN3,0.0111749587685345,0.931294,0.0233150633096556,0.237184,0.218852,0.0095146,0.001,0,1,0,0,1,2
ANKS1B,0.0112519193926269,0.00874823,1.0,0.0161314,0.251218,0.305531,0.001,1,0,1,0,0,2
CGN,0.0112767646917158,0.0278032,0.890086716594006,0.054679,0.0369844,0.217135,0.001,1,0,0,1,0,2
TMEM139,0.0112868747302485,,0.0024693615060085,0.904256,0.0369726,0.620309,0.001,0,1,0,1,0,2
CTSK,0.0113856316454125,,0.475607471737405,0.0462722,0.0747758,0.0314937,0.001,0,0,1,0,1,2
AHI1,0.0113902031710324,0.0226074,0.144100538162153,0.0108913,0.472545,0.657661,0.001,1,0,1,0,0,2
PLEKHH2,0.0115100449039452,0.814451,0.000865159936316,0.0289304,0.817022,0.672249,0.001,0,1,1,0,0,2
PRR14,0.0115489515541764,0.215522,0.722323230314517,0.01076,0.0179936,0.373308,0.001,0,0,1,1,0,2
GALNT2,0.0119243047891087,0.534388,0.0174607024811231,0.0188386,0.130931,0.512299,0.001,0,1,1,0,0,2
MMAB,0.0120093778011647,0.0496513,0.0173302260363588,0.65556,0.272071,0.0776288,0.001,1,1,0,0,0,2
EFNB3,0.0121041597086525,0.00181945,0.0412067826192895,0.781686,0.351294,0.585383,0.001,1,1,0,0,0,2
MTR,0.012206348317076,1.0,0.015213481376535,0.304696,0.0276293,0.0952655,0.001,0,1,0,1,0,2
SLITRK5,0.0122988399285295,0.903744,0.0012527018997557,0.386387,0.623725,0.0452165,0.001,0,1,0,0,1,2
HTR2B,0.0123018124137232,0.358318,0.85268762389394,0.685351,0.0136675,0.0043122,0.001,0,0,0,1,1,2
ADGRB1,0.0124446879759041,0.00537436,0.0250990373808224,0.578707,0.218825,0.734808,0.001,1,1,0,0,0,2
OGDHL,0.0124496684952732,0.3294,0.372582655441304,0.0316031,0.0258328,0.125349,0.001,0,0,1,1,0,2
PROSER1,0.0125076851816942,0.465598,0.0013522578348489,0.854455,0.586178,0.0400997,0.001,0,1,0,0,1,2
NKX1-2,0.0125177765916312,0.50859,0.50226639069737,0.0379739,0.0098392,0.132647,0.001,0,0,1,1,0,2
ARL8B,0.0125747023866567,,0.183868419370855,0.019286,0.618226,0.0271004,0.001,0,0,1,0,1,2
RPL10L,0.0126128734392881,0.0482555,0.893750348783665,0.00214466,0.514029,0.269252,0.001,1,0,1,0,0,2
CCDC15,0.0127529097954963,0.232189,0.810629539672168,0.0302553,0.20714,0.0110301,0.001,0,0,1,0,1,2
CDKL1,0.012776743242942,0.0158589,0.0800138361366011,0.403085,0.609525,0.0418479,0.001,1,0,0,0,1,2
PTPRO,0.0127970339264742,0.28682,0.322237559733882,0.00330062,0.0428678,1.0,0.001,0,0,1,1,0,2
PIH1D1,0.0128345396405655,0.0213689,0.126059014317359,0.0162442,0.643847,0.466168,0.001,1,0,1,0,0,2
SLC22A16,0.0128474838089161,0.0056974,0.15378618930262,0.0350099,0.529366,0.809994,0.001,1,0,1,0,0,2
FANCI,0.0129308732997543,0.0106931,0.572835566460545,0.768308,0.281137,0.0100361,0.001,1,0,0,0,1,2
POLD1,0.0129545335505036,0.197959,0.907541645005942,0.323524,0.0123829,0.018499,0.001,0,0,0,1,1,2
LRFN3,0.0131843647016105,0.290759,0.341445893885052,0.0391484,0.152307,0.0230814,0.001,0,0,1,0,1,2
SLC39A9,0.0133276527546405,0.434701,0.0429424997924743,0.101954,0.151944,0.0480059,0.001,0,1,0,0,1,2
SNTG2,0.0133876303556379,0.0456155,0.0063798374118002,0.10153,0.553547,0.854399,0.001,1,1,0,0,0,2
RAD9B,0.0134247071534577,0.0400776,0.219610792232205,0.0199414,0.41,0.194987,0.001,1,0,1,0,0,2
RABGGTB,0.0136418171807372,0.845642,0.0413499108456666,0.00644758,0.356932,0.178535,0.001,0,1,1,0,0,2
EIF4EBP3,0.0138059571342985,0.0704592,0.0176631283259263,0.0347424,0.411862,0.821125,0.001,0,1,1,0,0,2
FUT3,0.0140085780391081,0.15718,0.0091635133862219,0.52521,0.046304,0.426533,0.001,0,1,0,1,0,2
F11-AS1,0.0140440450351318,0.00313491,,0.721682,0.717137,0.0426596,0.001,1,0,0,0,1,2
CEACAM7,0.0140502384610684,0.158522,0.385292055562852,0.0159416,0.688415,0.0223875,0.001,0,0,1,0,1,2
LOC100129434,0.0140643227307901,0.244058,,0.0203157,0.0218486,0.640191,0.001,0,0,1,1,0,2
ACSS2,0.0142260747869518,0.904813,0.187809824026061,0.634798,0.00345229,0.0410417,0.001,0,0,0,1,1,2
LIG3,0.0142921903720759,0.0306329,0.11296051239023,0.418562,0.815271,0.013033,0.001,1,0,0,0,1,2
PRIM1,0.0143534415978243,0.0464558,0.741536878657932,0.0609908,0.0107367,0.686528,0.001,1,0,0,1,0,2
ZNRD2,0.0143955768628152,0.0395519,,0.151599,0.531483,0.0224761,0.001,1,0,0,0,1,2
UQCC3,0.0144606139886525,,0.0459601585870091,,,0.0436259,0.001,0,1,0,0,1,2
ZSCAN31,0.0144904668977336,0.0175019,0.238674400581208,0.372509,0.0254427,0.396713,0.001,1,0,0,1,0,2
AGO2,0.0146929362217334,,0.0110608043195306,0.423394,0.0378387,0.415843,0.001,0,1,0,1,0,2
SLC39A11,0.0156672220368718,0.0349973,0.0027491134194941,0.87448,0.209582,1.0,0.001,1,1,0,0,0,2
SORCS3,0.0158686999465051,0.014073,0.149775118570997,0.551721,0.322453,0.0479254,0.001,1,0,0,0,1,2
WARS2,0.0158736099489124,0.254541,0.0423408367819476,0.0910075,0.0497365,0.36856,0.001,0,1,0,1,0,2
VN1R4,0.0161461981081505,0.601449,0.343849606531668,0.0294768,0.00533968,0.566518,0.001,0,0,1,1,0,2
MET,0.0161745637520946,0.0224534,0.241423569442596,0.921902,0.337775,0.0109531,0.001,1,0,0,0,1,2
ZNF335,0.0162449361637132,0.0433558,0.0034169631716304,0.294245,0.908059,0.470118,0.001,1,1,0,0,0,2
WDR59,0.0164188568160626,0.472644,0.603780919480083,0.0208842,0.640536,0.00495256,0.001,0,0,1,0,1,2
OBSL1,0.0164221363763782,0.483175,0.378100802461568,0.251063,0.0171111,0.0240969,0.001,0,0,0,1,1,2
CFAP298,0.0164393816931029,0.639761,,0.0114004,0.0323341,0.365355,0.001,0,0,1,1,0,2
HVCN1,0.0166185737047608,1.0,0.0167081913201382,0.0201523,0.20987,0.272411,0.001,0,1,1,0,0,2
OR2M7,0.0166472655506289,0.785103,0.0304907561188901,0.00396067,0.253635,0.802552,0.001,0,1,1,0,0,2
POU3F3,0.0167665167604608,0.0430632,0.304383695930577,0.731399,0.750466,0.00271116,0.001,1,0,0,0,1,2
TPSG1,0.0169766875228721,0.785348,0.0368326125498526,0.00967816,0.136808,0.518849,0.001,0,1,1,0,0,2
USP15,0.0170152057894919,1.0,0.493281413166092,0.0424773,0.725343,0.00131194,0.001,0,0,1,0,1,2
ZFP36L1,0.0175399979129024,0.18466,0.398576128493587,0.0369212,0.0137628,0.557895,0.001,0,0,1,1,0,2
PKNOX1,0.0175943196384402,0.0145429,0.542887032581027,0.0424785,0.103971,0.601154,0.001,1,0,1,0,0,2
PDE9A,0.0194165347495787,0.170406,0.0425004913416389,0.0184599,0.741686,0.245078,0.001,0,1,1,0,0,2
FAM160A2,0.0194451383434157,1.0,0.0238151401522577,0.214513,0.863905,0.00551851,0.001,0,1,0,0,1,2
ACER2,0.0199162791818282,0.0457121,0.693864835456158,0.134679,0.0124798,0.473629,0.001,1,0,0,1,0,2
HS6ST3,0.0202355585619232,0.496967,0.0352452914853517,0.531825,0.0192082,0.144538,0.001,0,1,0,1,0,2
CFAP298-TCP10L,0.0205742432988359,0.760112,,0.0115101,0.035794,0.377061,0.001,0,0,1,1,0,2
GCOM1,0.0207146555502803,0.862177,0.0397472767411051,0.0256198,0.198768,0.153526,0.001,0,1,1,0,0,2
TMEM200C,0.020978286730972,0.196784,0.236418442655818,0.932297,0.0166843,0.0377377,0.001,0,0,0,1,1,2
