GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
BAD	2.190381205206802	0.7007906554235512	0.15441169782890926	0.405085	0.825693	17.0	65.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
C12orf60	2.1903079281044944	0.7008040766886958	0.15440338047260208	0.39908	0.838148	7.0	82.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
DDT	2.190280743394193	0.7008090557884361	0.1544002948914357	0.512744	0.652358	2.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
THOC1	2.1902126180232133	0.7008215335274043	0.1543925624500607	0.489752	0.683007	10.0	104.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
VSTM4	2.1901952374837625	0.7008247169263924	0.15439058972318503	0.742443	0.450549	12.0	82.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
MED6	2.1901571631276893	0.7008316905886803	0.15438626823179225	0.411877	0.812168	4.0	36.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
SALL3	2.1899887619039897	0.7008625349323863	0.15436715489305164	0.517524	0.646427	33.0	356.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
PKIA	0.7108771314244815	0.700866	0.15436500774443251	NA	0.700866	NA	9.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
CSNK1A1L	2.1897710234960868	0.7009024162015614	0.15434244288248994	0.887524	0.376979	10.0	62.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
GALNT13	2.188508447152172	0.7011336788426272	0.15419917112201076	0.457956	0.731051	7.0	101.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
