GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
FAM120B	7.220024292975528	0.30097805975734404	0.5214651617935543	0.618465	0.765316868252006	0.0571525	9.0	29.0	27.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PTCD1	7.218996262648745	0.30106867571492574	0.5213344277215012	0.691068	0.874152090517913	0.044803	20.0	57.0	32.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PADI6	7.2176551997767495	0.3011869152169066	0.5211638995780146	0.52225	0.058416033619339	0.88776	8.0	28.0	30.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
DHCR7	7.217264913546502	0.3012213328092762	0.521114274193529	0.529278	0.08218922352554	0.622719	15.0	48.0	42.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FSHB	2.39977736449229	0.301227742041561	0.5211050335976651	NA	0.301227742041561	NA	NA	9.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PRPF19	7.216484416242418	0.3012901703472369	0.521015037040852	0.139995	0.745761553409721	0.259566	7.0	23.0	10.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
XXYLT1	7.215897153725956	0.30134197304693183	0.520940372498221	0.216808	0.194643602643471	0.642351	13.0	37.0	35.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
STK19	7.215812583427734	0.3013494335907081	0.5209296204849734	0.286322	0.315600346145666	0.299995	5.0	15.0	16.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CALCOCO1	7.215681141459208	0.301361029294897	0.5209129094747827	0.223028	0.142881148459478	0.850747	11.0	52.0	28.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FDXR	7.215144416458353	0.3014083822654003	0.5208446739822736	1.0	0.639229907530857	0.0424223	20.0	42.0	31.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PPARD	4.8642862690055235	0.30150814511009794	0.520700951090698	NA	0.0878483598423058	1.0	NA	23.0	16.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TSBP1	4.864250390235306	0.3015119780555125	0.5206954301238876	0.129546	NA	0.678137	5.0	NA	15.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
UBXN8	4.864168860387127	0.30152068807698224	0.5206828844875588	NA	0.1105424694727	0.794749	NA	14.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
GTPBP6	2.397791989307154	0.301526915551971	0.5206739148539591	NA	0.301526915551971	NA	NA	34.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CTPS1	4.863698715020365	0.3015709188684819	0.5206105407329147	NA	0.12413096411364	0.707915	NA	17.0	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SST	2.3973577580689494	0.30159238886229905	0.5205796227386478	NA	0.301592388862299	NA	NA	8.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FBXO36	4.86321962953598	0.30162211198333594	0.5205368234112324	NA	0.434056917395567	0.202497	NA	12.0	10.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
HLA-DMB	4.863120369016942	0.3016327194592453	0.520521550369013	NA	0.230255524515806	0.381748	NA	6.0	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FLYWCH2	4.862959891444492	0.3016498695515303	0.5204968581581614	NA	0.417004526514627	0.210805	NA	5.0	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ELAC2	7.211744802661499	0.3017084473130537	0.5204125301628036	0.872756	0.0371409195393447	0.838	12.0	51.0	36.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
