GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
TXLNA	4.520053859745506	0.6066656717293639	0.21705057898096358	1.0	0.104347674647327	1.0	11.0	39.0	30.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RPL3L	4.519482001466768	0.6067418700792091	0.21699603420227848	0.18879	0.552876290873655	1.0	39.0	86.0	66.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PSMC3IP	4.518617221353405	0.6068571041153303	0.21691355966624237	0.689684	0.454395875050116	0.333204	6.0	13.0	13.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
LRP6	4.518356623933164	0.6068918304718964	0.21688870862067997	0.849001	0.249593717739348	0.492844	26.0	112.0	80.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SIDT1	4.518134433672508	0.6069214392264712	0.2168675209816066	0.724469	0.378633750986044	0.380768	25.0	67.0	49.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
LGI4	4.517856376492444	0.6069584932577838	0.21684100705563142	0.528006	0.33597603695384	0.588861	25.0	68.0	43.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RIOK1	4.517829515670592	0.6069620727748881	0.21683844582622352	0.349629	0.806854532610918	0.370308	17.0	48.0	39.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
NLGN2	4.5176109626941905	0.6069911977071918	0.21681760680762985	0.278915	0.818063193045285	0.457883	13.0	20.0	36.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TVP23A	4.5173843769801785	0.6070213934877993	0.21679600264801502	0.852507	0.338377640853519	0.362212	13.0	13.0	21.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
GTSF1L	4.517297230944823	0.6070330070452394	0.21678769378819876	0.654156	0.218473269577051	0.731142	6.0	18.0	8.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
GHDC	4.517133078326008	0.6070548830786646	0.2167720431245511	0.581161	0.241407716195475	0.744851	17.0	66.0	38.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
FAM174B	4.51638567010575	0.6071544901014618	0.21670078888881186	0.486991	0.597384599866726	0.359339	17.0	19.0	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
KRAS	2.7116777465032573	0.6071727088790999	0.21668775728645215	0.47187	0.546190688326524	NA	4.0	11.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TXNDC5	4.5160488294117025	0.607199382220494	0.21666867897418177	0.693592	0.207575450975585	0.726227	15.0	39.0	33.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ATP6V1G3	4.516043872288077	0.6072000428828224	0.21666820644101403	0.42844	0.902303101218593	0.270465	9.0	10.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
MTPN	2.711511752468695	0.6072017118145011	0.21666701275397274	NA	0.306886811779369	0.839894	NA	7.0	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SLC25A40	4.516010707748396	0.6072044629028817	0.2166650450721085	0.464571	0.338742636540809	0.664414	8.0	19.0	13.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SERPINI1	4.515895499814898	0.6072198173609908	0.2166540631499942	0.872279	0.853789587663176	0.140404	8.0	33.0	13.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SAA2	4.515747199474699	0.6072395823930379	0.2166399270753668	0.242245	0.88841206187904	0.485902	7.0	19.0	4.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
GPR132	4.515546737278338	0.6072662996695084	0.21662081944333988	0.568751	0.228433122707222	0.804971	10.0	43.0	31.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
POLN	4.514912716315508	0.6073508029675607	0.21656039000261113	0.243321	0.713643407722746	0.602474	35.0	86.0	84.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RP13-672B3.2	0.9970069786424758	0.607439018836929	0.21649731462173025	NA	0.607439018836929	NA	NA	12.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SMARCD1	4.513829633720518	0.6074951649626286	0.21645717425377603	0.296688	0.757099764494629	0.465995	7.0	31.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
C1QTNF1	4.513102039745137	0.6075921495620438	0.21638784610600986	0.233587	0.542028860562461	0.82703	8.0	25.0	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
IQCF5-AS1	2.709230552146515	0.6076003533714169	0.21638198222990332	0.645068	NA	0.40003	7.0	NA	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
C3orf20	4.512844649627345	0.6076264593245941	0.216363322879578	0.471333	0.79627248059651	0.279035	34.0	83.0	50.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
VWA5B1	4.512693515665859	0.6076466055157659	0.21634892384464305	0.401455	0.542938689728682	0.4805	72.0	156.0	112.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ZNF410	4.512459108553328	0.6076778523789135	0.2163265917996379	0.615629	0.433617827283084	0.392379	12.0	35.0	20.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
CENPN	4.5124520922941525	0.6076787876644976	0.21632592337136788	0.821779	0.200864733797407	0.634563	15.0	36.0	25.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
LITAF	4.512410097748805	0.6076843856543306	0.21632192263126385	0.385571	0.404678927466994	0.671317	11.0	45.0	19.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
CD86	4.512200239360528	0.6077123605618564	0.21630193023288002	0.572533	0.734151319208759	0.249231	8.0	25.0	15.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
IL17REL	4.512083471687582	0.6077279262733803	0.21629080652290375	0.130254	0.804308121762501	1.0	12.0	38.0	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
KRT222	4.511831838686204	0.6077614705545058	0.21626683577295905	1.0	0.122667479948361	0.854159	4.0	20.0	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ZNF8-ERVK3-1	2.7079763169994386	0.6078195826901036	0.21622531196050146	0.37733	NA	0.684304	15.0	NA	41.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
FAHD2B	4.5110104314383594	0.6078709727014298	0.2161885947247572	0.497979	0.793859910215143	0.26515	9.0	29.0	18.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
CPLX3	4.510638419426501	0.6079205674563553	0.21615316311054375	0.19044	0.771921306939705	0.713175	5.0	19.0	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
G2E3	4.509972228389533	0.6080093832763143	0.21608971830344895	1.0	1.0	0.104875	18.0	45.0	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TRAM1	4.508741065448597	0.6081735292994079	0.21597248641052944	0.596335	0.290566286760731	0.605625	7.0	28.0	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
CSF2RB	4.508607182525381	0.6081913800610323	0.21595973943433477	0.702639	0.160743003263574	0.929189	31.0	105.0	54.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
