COHORT	VARIANT_GROUP	MAF	TEST	MIN_NUMVAR	LAMBDA	LAMBDA1000
GENENTECH	ALL_LOF_HC_LOFTEE	0.001	SkatO	1	1.0681159737173862	1.0163982899690003
GENENTECH	ALL_LOF_HC_LOFTEE	0.001	CMCWald	2	0.8518211652454158	0.9643273175590816
GENENTECH	ALL_LOF_HC_LOFTEE	0.001	SkatO	2	1.0682973254104056	1.0164419487099126
GENENTECH	ALL_LOF_HC_LOFTEE	0.001	CMCWald	3	0.8830026708989668	0.971833976327529
GENENTECH	ALL_LOF_HC_LOFTEE	0.001	SkatO	3	1.0860590801429415	1.0207179267010784
GENENTECH	ALL_LOF_HC_LOFTEE	0.001	CMCWald	4	0.8656963004749766	0.967667627892124
GENENTECH	ALL_LOF_HC_LOFTEE	0.001	SkatO	4	1.0415200250493986	1.0099955615859664
GENENTECH	ALL_LOF_HC_LOFTEE	0.01	CMCWald	1	0.8610560767358026	0.9665505369919525
GENENTECH	ALL_LOF_HC_LOFTEE	0.01	SkatO	1	1.067945168755322	1.0163571702559109
GENENTECH	ALL_LOF_HC_LOFTEE	0.01	CMCWald	2	0.8613910110453628	0.9666311693257355
GENENTECH	ALL_LOF_HC_LOFTEE	0.01	SkatO	2	1.0681159737173862	1.0163982899690003
GENENTECH	ALL_LOF_HC_LOFTEE	0.01	CMCWald	3	0.9038699783005146	0.9768575873686424
GENENTECH	ALL_LOF_HC_LOFTEE	0.01	SkatO	3	1.0841334591853127	1.020254351285353
GENENTECH	ALL_LOF_HC_LOFTEE	0.01	CMCWald	4	0.8851583228505235	0.9723529295751261
GENENTECH	ALL_LOF_HC_LOFTEE	0.01	SkatO	4	1.042904770663827	1.0103289262709214
GENENTECH	ALL_MISSENSE_SNPEFF	0.001	CMCWald	1	0.9768252419399582	0.9944208915781381
GENENTECH	ALL_MISSENSE_SNPEFF	0.001	SkatO	1	0.9753606784779763	0.9940683114854387
GENENTECH	ALL_MISSENSE_SNPEFF	0.001	CMCWald	2	0.9768252419399582	0.9944208915781381
GENENTECH	ALL_MISSENSE_SNPEFF	0.001	SkatO	2	0.9753606784779763	0.9940683114854387
GENENTECH	ALL_MISSENSE_SNPEFF	0.001	CMCWald	3	0.9822991548285889	0.9957386854216973
