GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
TRPM2-AS	7.635736076158817	0.021974599999999993	1.658079021572681	NA	NA	0.0219746	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
UNC5D	7.632555254685192	0.022009576445862194	1.657388314965724	NA	0.0220095764458622	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
VTI1B	7.610970366135807	0.022248399999999995	1.6527012159709766	NA	NA	0.0222484	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
OR6X1	7.599586136609485	0.022375401556909404	1.6502291619389757	NA	0.0223754015569094	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
PML	7.594865856393231	0.022428273007032002	1.6492041661134975	NA	0.022428273007032	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
PLA2G6	7.5891905454891955	0.022492007103145303	1.6479717880091436	NA	0.0224920071031453	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
SELENOO	7.547541795864844	0.0229653	1.638927876939131	NA	NA	0.0229653	NA	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
CAPN10	11.297655334927079	0.023414796697870402	1.6305096086859308	NA	0.0111847897236652	0.31486	NA	6.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
HNRNPCL2	7.490713376489529	0.023627200000000008	1.626587742464139	NA	NA	0.0236272	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
CYB5R1	7.479714017757608	0.02375749999999999	1.6241992620632653	NA	NA	0.0237575	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ANXA8	7.475458840142919	0.023808100000000002	1.6232752619844764	NA	NA	0.0238081	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
MNAT1	7.465645964442848	0.023925200000000008	1.6211444231004046	NA	NA	0.0239252	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
PDYN-AS1	7.432254657214147	0.024328000000000006	1.6138935928639242	NA	NA	0.024328	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
COL22A1	7.413810011109575	0.0245533984262347	1.6098883888519873	NA	0.0245533984262347	NA	NA	29.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ATP8B2	7.399336912477433	0.024731724760268393	1.606745595415997	NA	0.0247317247602684	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
SELO	7.373695028951511	0.0250508501356619	1.60117753115554	NA	0.0250508501356619	NA	NA	13.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
LIPN	11.109550350765744	0.025360020097059885	1.595850406624739	NA	0.421145591383703	0.0091867	NA	9.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
GFM2	7.341975061105229	0.025451323572685806	1.5942896276546454	NA	0.0254513235726858	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
FAM162A	7.336013622506708	0.0255273	1.592995117710874	NA	NA	0.0255273	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
OTUB2	7.326938100833524	0.025643399999999986	1.5910243932193457	NA	NA	0.0256434	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
NOC4L	7.3078664965589315	0.0258891	1.5868830469705966	NA	NA	0.0258891	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
CETN3	7.300690454255263	0.02598215748467929	1.585324789183403	NA	0.0259821574846793	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
HIP1	7.2540941826441925	0.026594600000000003	1.5752065373644262	NA	NA	0.0265946	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
SEMG2	7.236895390586579	0.026824283652556208	1.5714718671214147	NA	0.0268242836525562	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ART5	10.945109846733713	0.02718787967672758	1.5656246607686404	NA	0.0958319420043235	0.0438318	NA	7.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
MUC16	10.913974250297606	0.027548028535782088	1.5599094758200747	NA	0.102681619867172	0.0415497	NA	82.0	43.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
IGFLR1	10.897248892797327	0.027743391745124225	1.556840445708782	NA	0.361263817901722	0.0119088	NA	6.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
KRT9	7.119682743345654	0.028443336275196917	1.5460194641684117	NA	0.0284433362751969	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RTEL1-TNFRSF6B	10.823364973420437	0.028622539652870805	1.5432918342976234	NA	0.029468492960798	0.151488	NA	16.0	23.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
DPPA2	7.101618753836973	0.02870139999999998	1.5420969186860227	NA	NA	0.0287014	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
INSM2	10.775288446692127	0.029208991498601334	1.53448343769107	NA	0.436171330501913	0.0104838	NA	4.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
MIB2	10.754844677966279	0.029461871434625784	1.530739669987706	NA	0.0104051376943201	0.443984	NA	7.0	25.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
C1orf94	10.708598105943324	0.030041742345385033	1.5222748829513986	NA	0.0315328432973661	0.149932	NA	6.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RNF157	7.00996494457456	0.030047300000000006	1.5221945468819829	NA	NA	0.0300473	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
