GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_ALL_PVAL	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ADRA2B	18.670197622221444	0.0009122896157255603	3.039867268530653	0.0005143129104346	0.171629	66.0	111.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ARNTL2-AS1	13.957931214420094	0.0009312659999999994	3.0309262526039005	NA	0.000931266	NA	66.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
BOLA1	18.61443509471279	0.0009355526210009902	3.0289317801921314	0.0004992011413238	0.181824	15.0	32.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PANX1	18.511869279321306	0.000979882283501382	3.008826094405955	0.783023432769742	0.000122018	42.0	88.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
C11orf63	13.855728604447926	0.0009800918146948996	3.0087332378303895	0.0009800918146949	NA	78.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CELA3B	18.179752977122092	0.001138158247662662	2.943797350147744	1.0	0.000112802	33.0	68.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PPME1	18.134786899352427	0.0011614435364111716	2.935001898581018	0.0494519105309172	0.00233291	19.0	57.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
FAM50A	13.49483044300582	0.0011739100000000004	2.9303651978087215	NA	0.00117391	NA	22.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
H2BC8	13.434914570754822	0.00120961	2.9173546314602072	NA	0.00120961	NA	29.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
HNRNPR	17.985888659702074	0.0012419593159375653	2.9058926305307846	0.002361163563337	0.0526366	23.0	82.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
IRX6	17.960597379290853	0.001256172762106013	2.9009506277408175	0.0328562974747898	0.00383078	63.0	121.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MAOA	13.333590770912027	0.0012724699999999995	2.8953524478816095	NA	0.00127247	NA	40.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
GPR156	17.78438603981789	0.001359759874471576	2.866537778688231	0.0048790989654284	0.0281728	74.0	146.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PVALEF	13.089282222829006	0.0014377999999999997	2.842301520724484	NA	0.0014378	NA	4.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
DALRD3	17.655844249021673	0.0014406014287687257	2.8414561588318086	0.0008778446727435	0.16698	63.0	138.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MIR1227	13.062751503538138	0.0014569999999999995	2.83654044823001	NA	0.001457	NA	2.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RNF208	17.592863377439834	0.0014819248191037795	2.829173828392166	0.0616706341067841	0.0024529	26.0	57.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
FAM163B	17.550155812315044	0.0015106098577643463	2.820847685560544	0.0432486276290015	0.00357322	24.0	63.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
LOC101928123	12.984996536823006	0.0015147600000000004	2.8196561717375332	NA	0.00151476	NA	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ACOT11	17.467174549844195	0.0015679209626978756	2.8046758334432376	0.0002427211157085	0.663657	70.0	276.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RELL1	17.440356698090824	0.0015868975709678334	2.799451104624538	0.429737330690482	0.000379902	32.0	66.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
OR10W1	17.427154819962357	0.0015963224401397335	2.796879381262362	0.0009442344945084	0.174045	32.0	55.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
