GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
MRPL42	3.061281366579585	0.0022039188165713093	2.6568044071725514	0.392062	0.000513853	7.0	39.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
HDGFL1	3.059236491520719	0.002219019042699788	2.653838970817134	0.17522	0.0029704	6.0	67.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
CCL7	3.0534944557750343	0.0022619290143496545	2.64552102857059	NA	0.00226193	NA	25.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
RIPOR2	3.050388246724898	0.0022854571576266807	2.6410269154294377	0.0018959	0.227113	28.0	176.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
DPYSL4	3.0488446108035476	0.0022972327057748116	2.6387950092825587	0.0032507	0.171085	19.0	162.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
DCAF12L2	3.045136639554692	0.0023257462049676657	2.6334376790296625	NA	0.00232579	NA	39.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ICAM2	3.041356178352352	0.002355150492745929	2.6279813364837454	0.0192591	0.0499189	6.0	61.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ABHD8	3.038475188537712	0.0023777868426252437	2.623827080424173	0.0144809	0.0640324	10.0	75.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
SEPT5-GP1BB	3.0333596438348267	0.00241847184333879	2.616458964448267	0.71969	8.46158e-05	5.0	112.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
HMGCL	3.0236858767449615	0.0024971557412645645	2.6025543709595977	0.050349	0.0203868	7.0	54.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
LCOR	3.012331894100584	0.002592489810243241	2.586282941925934	0.0309805	0.0354876	33.0	259.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
SERINC1	-2.9996872860075303	0.00270256916581541	2.5682231825004296	0.0612592	0.0177602	7.0	69.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
OR5H2	2.9964223196369084	0.0027316782598994695	2.5635704536649992	0.0136513	0.076517	6.0	59.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
PNMA3	2.9914690548954876	0.0027763867572661327	2.5565200357507183	NA	0.00277642	NA	46.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
KDELR3	2.988197657386705	0.0028062800156871746	2.5518689964579124	0.0205694	0.0561123	6.0	52.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
IRS1	2.9696060786157683	0.002981818424908243	2.5255188060410783	0.0225268	0.055073	29.0	257.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
SLC22A16	2.967386808541954	0.00300342847109796	2.5223827066423334	0.0183745	0.0659827	23.0	126.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
EVX1-AS	2.967213299489736	0.003005124015082299	2.522137600881017	0.547258	0.000325153	15.0	88.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
EVX1	2.967213299489736	0.003005124015082299	2.522137600881017	0.547258	0.000325153	15.0	88.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
COLCA1	2.948151470973047	0.0031968038597542194	2.495284009095707	NA	0.0031968	NA	9.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
RAMAC	2.945661585912938	0.0032226477292607294	2.4917871650429237	0.0443668	0.0311469	5.0	25.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
KLHL25	-2.944082901689051	0.0032391322233566405	2.4895713234618473	0.00381062	0.204036	22.0	182.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
RASAL1	2.940802897291787	0.0032736276589553745	2.484970718588367	0.183743	0.00466059	23.0	177.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
WNT10B	-2.927442586415174	0.0034176215423019807	2.46627603148949	0.0463594	0.0317199	9.0	83.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
LRRC9	2.924262865847024	0.0034527303961559277	2.4618373318830984	0.00345268	NA	32.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
GPER1	-2.9224711374731194	0.0034726580488250837	2.45933797937851	0.320191	0.00169566	18.0	103.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
RPLP1	2.921908736486332	0.00347893463875316	2.4585537305785063	NA	0.00347891	NA	22.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
CCL1	2.9190359427455905	0.0035111573704661773	2.4545497049711527	NA	0.00351112	NA	17.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
