GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
NUDT17	-1.5164799579381525	0.12939803439456954	0.8880723207158165	0.411665	0.185616	5.0	43.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
NFKBID	-1.5163417086154864	0.12943297034795154	0.8879550821192963	0.124468	0.543089	4.0	52.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
MALT1	-1.5161970264345732	0.12946953974454772	0.8878323958830895	0.915742	0.0244471	5.0	81.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
DNAJC19	1.5158844777059106	0.1295485659301142	0.8875673901817088	NA	0.129549	NA	26.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
CEACAM21	1.5158834645387214	0.12954882216462293	0.887566531190161	NA	0.12955	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ZNF596	1.5157148827669706	0.12959146272858227	0.8874236081258637	0.786753	0.0610664	8.0	75.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
NPL	1.5156470262372919	0.12960862922992283	0.8873660825535511	0.657795	0.0890379	7.0	54.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
MAP3K5-AS1	-1.5155869725723974	0.12962382321727245	0.8873151733034992	NA	0.129625	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ENC1	-1.5154879488207769	0.12964887992304494	0.8872312308833852	0.659082	0.0887472	4.0	57.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
CHST4	1.5153664586205602	0.12967962661611832	0.8871282486129105	0.0458653	0.883588	10.0	65.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
CHIC2	-1.5152498308456384	0.1297091480541916	0.8870293931576216	0.163541	0.45348	5.0	40.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
BMPR2	-1.5149393149992478	0.12978777290403656	0.8867662197885738	0.67447	0.0849927	14.0	132.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
FOLR3	1.5148443696123632	0.1298118211449816	0.8866857572715962	0.412217	0.186065	8.0	29.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
RGP1	1.5145221668204203	0.12989345606300548	0.8864127278131482	0.913683	0.0244326	16.0	98.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
LYPLA1	-1.514436130954396	0.1299152612822855	0.886339828900987	NA	0.129915	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ADAMTS6	1.5140221046461844	0.1300202332420051	0.8859890592192818	0.162648	0.456313	11.0	151.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
METTL3	1.5137695181976139	0.13008430617083444	0.8857750950950445	NA	0.130084	NA	73.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
