GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SORBS3	0.30605406582433314	0.8581065243795449	0.06645879597578129	NA	0.858106524379545	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
FAM212B	0.3060037821132889	0.8581280990410158	0.06644787700666324	NA	0.858128099041016	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SLC9B1	3.9884520779051913	0.8581638478468938	0.06642978508569626	NA	0.56108063250329	0.390757	0.631398	0.983294	NA	3.0	3.0	2.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TBX6	2.590737537093439	0.8581776792203307	0.06642278544248283	NA	0.485951076015474	0.625382	NA	0.900929	NA	5.0	3.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
PEPD	0.3056295663501898	0.85828867659392	0.0663666170861856	NA	0.85828867659392	NA	NA	NA	NA	6.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
FGF3	1.3180662827269465	0.858302949651053	0.06635939497248294	NA	0.572281763384989	NA	NA	0.904015	NA	5.0	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ATP1A2	1.3178539444352078	0.85833914720234	0.06634107968496498	NA	0.570885024420438	NA	NA	0.906323	NA	2.0	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RP11-723O4.6	0.3053238532116196	0.858419881684005	0.06630023232162242	NA	0.858419881684005	NA	NA	NA	NA	10.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
AC114783.1	0.3052385614058367	0.858456490555523	0.06628171144132089	NA	0.858456490555523	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
DENND5B	0.3051628358881169	0.8584889947019609	0.06626526785407845	NA	0.858488994701961	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SH3PXD2A	0.30515816420167874	0.858491	0.06626425341025775	NA	NA	NA	NA	0.858491	NA	NA	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
NYAP2	0.3051346564262266	0.85850109066613	0.06625914876167742	NA	0.85850109066613	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TLCD2	0.3051178303923344	0.8585083132807358	0.06625549503484163	NA	0.858508313280736	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
LAMP5	2.587849780656796	0.8585092262836815	0.06625503317334967	NA	0.394774898963716	0.901296	NA	0.770617	NA	2.0	2.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
IL27RA	0.30463801030642973	0.858714302755534	0.0661513034270342	NA	0.858714302755534	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ADAM9	2.585821388342606	0.8587419525488329	0.0661373197781122	NA	NA	0.350702	0.920667	0.850071	NA	NA	2.0	3.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
KRT6B	0.3044992263375171	0.8587738927125919	0.06612116687109654	NA	0.858773892712592	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SYNPO2	1.314341925573372	0.8589375559132877	0.06603840788940056	NA	0.644815501480239	NA	NA	0.80382	NA	4.0	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
IGDCC4	0.303796818357256	0.859075550498941	0.0659686409161604	NA	0.859075550498941	NA	NA	NA	NA	6.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
FAM126B	2.5823635887943253	0.8591383832997143	0.06593687777173032	NA	0.877900030751864	0.356727	NA	0.877942	NA	2.0	2.0	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
OS9	0.3032229925888088	0.8593220657054039	0.06584403623375519	NA	0.859322065705404	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CADPS2	2.5788392108375566	0.8595420601329085	0.0657328670435904	NA	NA	0.885387	0.590922	0.52644	NA	NA	6.0	9.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
EEF2	0.3026300714236454	0.859576858591786	0.06571528503863809	NA	0.859576858591786	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
IRAK2	1.3088842367303892	0.8598663962813192	0.06556902301841797	0.963385	0.539485180506879	NA	NA	NA	3.0	8.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CFAP298-TCP10L	0.30157601324415256	0.86003	0.06548639921315873	0.86003	NA	NA	NA	NA	3.0	NA	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
GPALPP1	1.3076206129774226	0.8600812614005002	0.06546051420923128	NA	0.604332101397175	NA	NA	0.860554	NA	3.0	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
PLN	0.301346757744205	0.860128588954217	0.06543661701387213	NA	0.860128588954217	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RBM47	0.3013364758210801	0.8601330108535978	0.06543438432263393	NA	0.860133010853598	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
KREMEN2	3.965846650358572	0.8601916661085427	0.065404769385514	NA	0.201579202097366	0.920344	0.904963	0.819975	NA	5.0	2.0	2.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
LPP	2.572186979768246	0.8603029277935824	0.06534859910041269	NA	0.343808485491127	0.906175	NA	0.887009	NA	4.0	2.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
OLFML3	0.30087315913261836	0.860332290924265	0.06533377638204757	NA	0.860332290924265	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SNAPC2	0.30081125706796746	0.860358919508901	0.06532033451949941	NA	0.860358919508901	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TSPAN7	0.3008040961366065	0.8603619999999998	0.0653187795430118	NA	NA	NA	NA	0.860362	NA	NA	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TCP10	0.3006740847416303	0.860417930249775	0.06529054792730038	NA	0.860417930249775	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
MUC19	3.962245206277454	0.8605136542003073	0.06524223411410678	0.806076	NA	0.624041	0.629453	0.435569	2.0	NA	6.0	7.0	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SLC2A4RG	0.30042522175266967	0.860525	0.06523650801587262	NA	NA	NA	NA	0.860525	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ZNF805	0.3003072404051381	0.860575764446842	0.06521088869177237	NA	0.860575764446842	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ACAT2	3.961258461503296	0.8606018223897683	0.0651977386009159	NA	0.850986792652143	0.906117	0.447261	0.400088	NA	3.0	4.0	2.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
