GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
STAP2,0.0024891250165739,0.110512,1.0,0.888776,0.00391122,0.00335396,0.01,0,0,0,1,1,2
ATP1A1-AS1,0.0025919169203343,0.671338,,0.0367673,0.436315,0.000669278,0.01,0,0,1,0,1,2
SLC3A2,0.0027089173802273,0.0433245,0.53088206281976,0.587879,0.195677,0.000546953,0.01,1,0,0,0,1,2
PROK2,0.0027363297724149,0.0668988,0.0449422535537976,0.00746533,0.563847,0.115941,0.01,0,1,1,0,0,2
RPP21,0.0027974599617779,0.00234539,0.494799296101064,0.402085,0.00324158,1.0,0.01,1,0,0,1,0,2
PTPN13,0.002800270201276,0.790594,0.0022672651198353,0.895268,0.274686,0.00343616,0.01,0,1,0,0,1,2
NLRX1,0.0031334404493334,0.0476625,0.0081541379827675,0.0642199,0.401004,0.176709,0.01,1,1,0,0,0,2
KLHL24,0.0031929770246344,0.634404,0.0467163096619492,0.90395,0.000133697,0.50679,0.01,0,1,0,1,0,2
CNOT8,0.003266316941321,,0.0046148495732296,0.00698939,0.671529,0.449936,0.01,0,1,1,0,0,2
AARSD1,0.0033344645610399,0.315551,0.0215130524341717,0.125193,0.547508,0.00414227,0.01,0,1,0,0,1,2
NANOS1,0.0033357551152128,0.124625,,0.259169,0.0352871,0.00878963,0.01,0,0,0,1,1,2
WARS2,0.0033428077418031,0.295304,0.0423408367819476,0.492561,0.00137928,0.227689,0.01,0,1,0,1,0,2
CETN3,0.0033773261371577,0.227769,0.0413853281770873,0.000728813,0.440061,0.648922,0.01,0,1,1,0,0,2
SRP54,0.0034270564801564,,0.0058685214445006,0.0281303,0.0959692,0.655099,0.01,0,1,1,0,0,2
MON1B,0.0034584801003134,0.0116879,0.223016451654173,0.244856,0.788028,0.00403114,0.01,1,0,0,0,1,2
NLRP1,0.0035663355555994,1.0,0.742877813530587,0.00142801,0.752372,0.00265078,0.01,0,0,1,0,1,2
MEI4,0.0036347205163968,0.0231676,0.0013658387129862,0.567288,0.229498,0.527285,0.01,1,1,0,0,0,2
RARRES2,0.0037520400113737,0.18993,0.0407680679803171,0.8215,0.0687111,0.00519439,0.01,0,1,0,0,1,2
VIT,0.0037997306448016,0.0411263,0.172116107933863,0.00344385,0.196041,0.483482,0.01,1,0,1,0,0,2
PDCL3,0.0039241861982197,0.841824,0.119009387792512,0.00296492,0.0432588,0.188065,0.01,0,0,1,1,0,2
MRFAP1,0.0039441307524081,0.47811,0.0335794441296842,0.789264,0.449794,0.000427,0.01,0,1,0,0,1,2
LACTB2-AS1,0.0039474977901557,0.01121,,0.012893,0.63453,0.136272,0.01,1,0,1,0,0,2
ADM,0.0039900123086513,0.289795,0.0469915381208366,0.143923,0.34038,0.00370732,0.01,0,1,0,0,1,2
HSPB9,0.0041395083009123,0.702948,0.184714946620918,0.733395,0.0147937,0.00184802,0.01,0,0,0,1,1,2
FAM163B,0.0041555462849375,0.285961,0.0125106606479957,0.027686,0.103802,0.254588,0.01,0,1,1,0,0,2
CHGB,0.004303949410048,0.632338,0.241821407516725,0.0475629,0.00106595,0.354593,0.01,0,0,1,1,0,2
L3HYPDH,0.0043047647976702,0.71174,0.0136708752833393,0.00410241,0.481667,0.143018,0.01,0,1,1,0,0,2
ZSCAN31,0.0043507971980778,0.0175019,0.238674400581208,0.0507027,0.586253,0.0224774,0.01,1,0,0,0,1,2
HIVEP2,0.0044292513930652,0.397955,0.002940237152662,0.217283,0.365946,0.0307576,0.01,0,1,0,0,1,2
DNAJC9-AS1,0.0044412704270067,0.00784224,,1.0,0.843021,0.00220842,0.01,1,0,0,0,1,2
OXLD1,0.0046427354600641,0.612057,0.0060750930890031,0.00833528,0.146906,0.671342,0.01,0,1,1,0,0,2
ZC4H2,0.0047360206309892,,0.0204790851033073,0.731687,0.0109311,0.0970506,0.01,0,1,0,1,0,2
RNASE9,0.0047450646411,0.161529,0.575648426378019,0.569929,0.00246722,0.0241042,0.01,0,0,0,1,1,2
KLK7,0.0048263776193039,0.150837,0.297277649569584,0.0214525,0.0109103,0.307541,0.01,0,0,1,1,0,2
COPS7A,0.0048810464062052,0.653089,0.691934659820159,0.000925542,0.261248,0.0300104,0.01,0,0,1,0,1,2
EZH2,0.0050660668120526,0.570246,0.640675112629963,0.486048,0.00419868,0.00463429,0.01,0,0,0,1,1,2
MIER2,0.0050899549320701,0.00283899,0.0014725219746495,0.832002,1.0,1.0,0.01,1,1,0,0,0,2
XKR3,0.0051005164818831,,0.873380435358374,0.00199187,0.491923,0.0204956,0.01,0,0,1,0,1,2
GFM2,0.0051117286840806,0.348217,0.0059137352440351,0.820233,0.00263787,0.785338,0.01,0,1,0,1,0,2
STIMATE,0.005304235171448,0.0440814,,0.653655,0.543197,0.00118052,0.01,1,0,0,0,1,2
ANKS1B,0.0053077988989123,0.00362958,0.821013180480156,0.0161314,0.251218,0.305531,0.01,1,0,1,0,0,2
FGL1,0.0053873058627551,1.0,0.0488097558227367,0.182112,0.00119894,0.353547,0.01,0,1,0,1,0,2
LIMK1,0.0054095578511052,0.00398309,0.369682795760622,0.0382878,0.700228,0.0959988,0.01,1,0,1,0,0,2
KNDC1,0.0054159671273438,0.657248,0.156982226031625,0.691217,0.00289704,0.0183735,0.01,0,0,0,1,1,2
SST,0.005500249071132,0.00569972,0.0124490583027013,0.531201,0.177143,0.581075,0.01,1,1,0,0,0,2
ZNF567,0.0056206519911822,0.103012,0.0492277223243989,0.0257444,0.22354,0.137073,0.01,0,1,1,0,0,2
ADA2,0.0056845927417711,0.0106806,,0.840289,0.0937647,0.0240788,0.01,1,0,0,0,1,2
TNFRSF17,0.0058369476955033,0.380028,0.0229134953694557,0.305517,0.304858,0.00520281,0.01,0,1,0,0,1,2
SPATC1,0.0059657122640581,0.320725,0.0127934156339184,0.171608,0.254407,0.0242946,0.01,0,1,0,0,1,2
SUN1,0.0059738561783024,0.0465343,0.116465655875533,0.3781,0.0125123,0.170067,0.01,1,0,0,1,0,2
SPATA6,0.0060799480379264,0.114374,0.251521824040211,0.689855,0.0161347,0.013962,0.01,0,0,0,1,1,2
TNFSF8,0.0066333750120856,0.872316,0.0339243523395852,0.0537133,0.016758,0.189941,0.01,0,1,0,1,0,2
RPL5,0.0066613022558828,0.0383438,0.0020648996035189,0.423196,0.151904,1.0,0.01,1,1,0,0,0,2
MYORG,0.006680961396651,0.388587,,0.0106698,0.133052,0.0455891,0.01,0,0,1,0,1,2
FMNL2,0.0066935671320557,0.037359,0.300363895151331,0.611151,0.411514,0.001816,0.01,1,0,0,0,1,2
ZNF790,0.0067309281401693,0.306494,0.851852163811106,0.0163003,0.00394318,0.307826,0.01,0,0,1,1,0,2
TACC1,0.0068441137225512,0.0359108,0.0017018118719769,0.899731,0.198798,0.483937,0.01,1,1,0,0,0,2
ATP6V0E2,0.0069743609842085,0.153004,0.0061632381073202,0.0119098,0.750939,0.644319,0.01,0,1,1,0,0,2
ZBTB10,0.0070743226649409,0.742119,0.172429653142254,0.0261446,0.0119854,0.138299,0.01,0,0,1,1,0,2
NKX2-2,0.0072189369072371,0.133045,0.286182925732326,0.0136082,0.0110165,1.0,0.01,0,0,1,1,0,2
OR10Z1,0.0072650235207521,0.750946,0.860759574610493,0.0234587,0.0018556,0.204718,0.01,0,0,1,1,0,2
ADORA1,0.0074433159955756,0.393778,0.012169648170344,0.768287,0.267008,0.00606611,0.01,0,1,0,0,1,2
MIDN,0.0076104558216306,0.013613,0.0932130386091454,0.0173089,0.375723,0.74597,0.01,1,0,1,0,0,2
FAH,0.0077340330180624,0.463523,0.026655854549832,0.000728395,0.763919,0.916285,0.01,0,1,1,0,0,2
FOXD4L5,0.0077451986833628,,0.0060818773620268,0.02855,0.537046,0.329045,0.01,0,1,1,0,0,2
CEMIP,0.0077588997033386,0.0295471,0.144136078007674,0.867329,0.00261937,0.654091,0.01,1,0,0,1,0,2
ZGLP1,0.008028806750336,0.567842,0.0254044986672387,0.475559,0.454885,0.00212991,0.01,0,1,0,0,1,2
ALLC,0.0081053853873617,0.206736,0.839395155559236,0.0165772,0.00608991,0.384609,0.01,0,0,1,1,0,2
CES4A,0.008213337054864,0.378673,0.0403938838459822,0.012878,0.376352,0.0926307,0.01,0,1,1,0,0,2
TMX2-CTNND1,0.0082235287442004,0.0232114,0.0017969219255812,0.77416,0.253198,0.841453,0.01,1,1,0,0,0,2
TMEM33,0.0083102288938737,0.0158192,0.488263181722617,0.677601,0.0056433,0.236457,0.01,1,0,0,1,0,2
ARID4A,0.0083299226509249,0.67892,0.718689014853881,0.0053407,0.00580844,0.462976,0.01,0,0,1,1,0,2
CLEC5A,0.0087239050868157,0.00457688,0.0433878131586742,0.612902,,0.296139,0.01,1,1,0,0,0,2
SEC14L5,0.0087874345872113,0.195369,0.0284514374554987,0.422559,0.00729008,0.442003,0.01,0,1,0,1,0,2
ZNF777,0.0090534948642594,0.336589,0.155506677294333,0.0335429,0.00658466,0.683451,0.01,0,0,1,1,0,2
H2BC12,0.0091746824346257,0.0640072,,0.0382765,0.435463,0.0361756,0.01,0,0,1,0,1,2
JADE1,0.0094774561256519,0.013379,0.522670943260556,0.00562762,0.385376,0.556609,0.01,1,0,1,0,0,2
VIL1,0.0095487590623392,0.0226006,0.876602671210685,0.405435,0.057766,0.018391,0.01,1,0,0,0,1,2
ELOA2,0.0099539001460257,0.003746,,0.502136,0.853105,0.026874,0.01,1,0,0,0,1,2
AUTS2,0.0099742794928073,0.204004,0.0746870673105324,0.510058,0.0499141,0.0234329,0.01,0,0,0,1,1,2
SLC5A12,0.0101282077055028,0.320016,0.0294113025026895,0.136132,0.0129473,0.560244,0.01,0,1,0,1,0,2
PCP4L1,0.0104542044198392,,0.0181124912468491,0.0133019,0.485797,0.393961,0.01,0,1,1,0,0,2
SSTR4,0.0105319142973387,0.00504789,0.887686158699412,0.298945,0.205972,0.0356529,0.01,1,0,0,0,1,2
ZNHIT6,0.010663242014315,0.0190819,0.805924619524727,0.277622,0.00532209,0.440799,0.01,1,0,0,1,0,2
MGLL,0.0108181942217104,0.0369624,0.249705286330969,0.219796,0.0202835,0.248578,0.01,1,0,0,1,0,2
TMEM200C,0.0109417671137673,0.743613,0.236418442655818,0.0939478,0.0166843,0.0377377,0.01,0,0,0,1,1,2
ADGRB1,0.0109847261705006,0.0025745,0.0250990373808224,0.852034,0.332764,0.570867,0.01,1,1,0,0,0,2
SLC2A13,0.0110136090848834,0.516231,0.0203195994920912,0.00590825,0.268276,0.631452,0.01,0,1,1,0,0,2
SLC34A3,0.011166243706282,0.790297,0.0063614499460767,0.541194,0.00433552,0.908061,0.01,0,1,0,1,0,2
CTSK,0.0113856316454125,,0.475607471737405,0.0462722,0.0747758,0.0314937,0.01,0,0,1,0,1,2
CTNNAL1,0.0114060500856332,0.0033987,0.310184038340134,0.409276,0.0403976,0.633897,0.01,1,0,0,1,0,2
KLHL25,0.011441049454112,0.037309,0.639268872711851,0.136981,0.0198129,0.171459,0.01,1,0,0,1,0,2
PDE6C,0.0114729288065588,0.428662,0.0158452424421248,0.00953131,0.67198,0.256158,0.01,0,1,1,0,0,2
PRR14,0.0115489515541764,0.215522,0.722323230314517,0.01076,0.0179936,0.373308,0.01,0,0,1,1,0,2
PIK3C2A,0.0115797837946263,0.107931,0.382632186570312,0.0273362,0.704472,0.0142031,0.01,0,0,1,0,1,2
AUNIP,0.011762528126823,0.886038,0.031867507308835,0.00114965,0.356031,1.0,0.01,0,1,1,0,0,2
LIG3,0.0119055084573214,0.0306329,0.11296051239023,0.418562,0.623177,0.013033,0.01,1,0,0,0,1,2
MMAB,0.0120093778011647,0.0496513,0.0173302260363588,0.65556,0.272071,0.0776288,0.01,1,1,0,0,0,2
ZNF343,0.0120573775727256,0.632563,0.844122939189315,0.00570285,0.0369836,0.106409,0.01,0,0,1,1,0,2
EFNB3,0.0121041597086525,0.00181945,0.0412067826192895,0.781686,0.351294,0.585383,0.01,1,1,0,0,0,2
P3H1,0.0121572308254803,1.0,0.018888418313091,0.889223,0.0550652,0.0131145,0.01,0,1,0,0,1,2
HTR2B,0.0123018124137232,0.358318,0.85268762389394,0.685351,0.0136675,0.0043122,0.01,0,0,0,1,1,2
LURAP1L,0.012612773335864,0.00927505,0.0208339750231571,0.280867,0.864014,0.272994,0.01,1,1,0,0,0,2
RPL10L,0.0126128734392881,0.0482555,0.893750348783665,0.00214466,0.514029,0.269252,0.01,1,0,1,0,0,2
BIN1,0.0126926610783046,0.0169323,0.0205607674683514,0.582067,0.800602,0.0796423,0.01,1,1,0,0,0,2
SIAH2,0.0127465143148699,0.00802403,0.546572674927674,0.129907,0.0342141,0.666977,0.01,1,0,0,1,0,2
CDKL1,0.012776743242942,0.0158589,0.0800138361366011,0.403085,0.609525,0.0418479,0.01,1,0,0,0,1,2
DHRS9,0.0128185274941748,0.47623,0.0310321042647564,0.0719493,0.529713,0.0232749,0.01,0,1,0,0,1,2
PIH1D1,0.0128345396405655,0.0213689,0.126059014317359,0.0162442,0.643847,0.466168,0.01,1,0,1,0,0,2
POU3F3,0.0128903625780853,0.0430632,0.304383695930577,0.792289,0.613943,0.00207305,0.01,1,0,0,0,1,2
ALDH1B1,0.0131175600243051,0.105429,0.0234932185373462,0.210552,0.0260042,1.0,0.01,0,1,0,1,0,2
MYOM3,0.0131305395326712,0.0455467,0.0148657853900942,0.405351,0.596589,0.0829442,0.01,1,1,0,0,0,2
LACTB2,0.0133210805608599,0.0158905,0.726846480719419,0.0145473,0.537166,0.1537,0.01,1,0,1,0,0,2
SLC39A9,0.0133276527546405,0.434701,0.0429424997924743,0.101954,0.151944,0.0480059,0.01,0,1,0,0,1,2
TRAPPC12,0.0133622069355659,0.024425,0.718297673701074,0.000978611,0.907878,0.894004,0.01,1,0,1,0,0,2
NIPA2,0.0135183902076559,0.189607,0.022899231308284,0.00392121,0.832634,1.0,0.01,0,1,1,0,0,2
SCGB1D1,0.0136347693627401,0.505729,0.477488245985176,0.0173879,0.00556591,0.614288,0.01,0,0,1,1,0,2
RABGGTB,0.0136418171807372,0.845642,0.0413499108456666,0.00644758,0.356932,0.178535,0.01,0,1,1,0,0,2
EIF4EBP3,0.0138059571342985,0.0704592,0.0176631283259263,0.0347424,0.411862,0.821125,0.01,0,1,1,0,0,2
ZBBX,0.0138359636681415,0.663915,0.0253396908533025,0.00969104,0.833617,0.107936,0.01,0,1,1,0,0,2
CPVL,0.0138413664236848,0.882626,0.415484866408175,0.31299,0.013867,0.00922194,0.01,0,0,0,1,1,2
FUT3,0.0140085780391081,0.15718,0.0091635133862219,0.52521,0.046304,0.426533,0.01,0,1,0,1,0,2
F11-AS1,0.0140440450351318,0.00313491,,0.721682,0.717137,0.0426596,0.01,1,0,0,0,1,2
LOC100129434,0.0140643227307901,0.244058,,0.0203157,0.0218486,0.640191,0.01,0,0,1,1,0,2
SLC39A2,0.0143220939085648,0.487393,0.0641799160346177,0.0344025,0.742553,0.0193182,0.01,0,0,1,0,1,2
PRIM1,0.0143534415978243,0.0464558,0.741536878657932,0.0609908,0.0107367,0.686528,0.01,1,0,0,1,0,2
ZNRD2,0.0143955768628152,0.0395519,,0.151599,0.531483,0.0224761,0.01,1,0,0,0,1,2
NAA38,0.0146145069167806,0.483897,0.0381022700919725,0.368365,0.020527,0.114087,0.01,0,1,0,1,0,2
AGO2,0.0146929362217334,,0.0110608043195306,0.423394,0.0378387,0.415843,0.01,0,1,0,1,0,2
SPDEF,0.0147289295907044,0.0379949,0.848392025480265,0.0798667,0.142406,0.0438875,0.01,1,0,0,0,1,2
CDSN,0.0148135601782608,0.37372,0.0060285373258854,0.00866045,0.831653,1.0,0.01,0,1,1,0,0,2
VN1R4,0.0161461981081505,0.601449,0.343849606531668,0.0294768,0.00533968,0.566518,0.01,0,0,1,1,0,2
ARFGAP1,0.0162026413209239,0.00814208,0.0164595567341973,1.0,1.0,0.138318,0.01,1,1,0,0,0,2
THAP12,0.0163007652537027,0.00235761,0.8200075093215,0.597422,0.0161944,1.0,0.01,1,0,0,1,0,2
NCAM1,0.0163516167272195,0.347597,0.733091770805517,0.0239962,0.213806,0.0143732,0.01,0,0,1,0,1,2
WDR59,0.0164188568160626,0.472644,0.603780919480083,0.0208842,0.640536,0.00495256,0.01,0,0,1,0,1,2
KRTAP24-1,0.0165403168871268,,0.0496488133291166,0.0294995,0.449101,0.132117,0.01,0,1,1,0,0,2
OR2M7,0.0166472655506289,0.785103,0.0304907561188901,0.00396067,0.253635,0.802552,0.01,0,1,1,0,0,2
EPB41,0.016854946522952,0.597438,0.880592256298017,0.00270501,0.0209325,0.659961,0.01,0,0,1,1,0,2
SNX27,0.0170533240977575,0.00809325,0.245420645033594,0.0207719,0.755906,0.641478,0.01,1,0,1,0,0,2
SLC38A10,0.0170887468469517,0.00569908,0.534590365008868,0.0225165,0.472168,0.619558,0.01,1,0,1,0,0,2
SMO,0.0172625786844161,0.00347431,0.771548342888318,0.528311,0.0168265,0.854978,0.01,1,0,0,1,0,2
CALY,0.0172685618864857,0.605655,0.22093340091134,0.0191877,0.0178445,0.444919,0.01,0,0,1,1,0,2
EMC9,0.017284555038202,0.878018,1.0,0.0026726,0.684873,0.0127013,0.01,0,0,1,0,1,2
LYPD3,0.0172887962211412,0.492554,0.622292923925718,0.00226932,0.0466774,0.628932,0.01,0,0,1,1,0,2
CPB1,0.0175366599959489,0.17503,0.0407339777501191,0.639837,0.851122,0.00537236,0.01,0,1,0,0,1,2
KIF21B,0.0175826872824239,0.0106284,0.0433410816791195,0.31713,0.322046,0.445118,0.01,1,1,0,0,0,2
PKNOX1,0.0175943196384402,0.0145429,0.542887032581027,0.0424785,0.103971,0.601154,0.01,1,0,1,0,0,2
PDE5A,0.0181198507919556,1.0,0.0076468622216447,0.0402874,0.155196,0.458173,0.01,0,1,1,0,0,2
NTSR1,0.0181603880167386,0.634678,0.0126592834969949,0.00945195,0.591389,0.489395,0.01,0,1,1,0,0,2
PPFIBP2,0.0181766032803222,0.858291,0.0192449834613223,0.350667,0.58835,0.00645825,0.01,0,1,0,0,1,2
FCRL4,0.018192996635715,0.0427037,0.013465515013791,0.202918,0.225763,0.836609,0.01,1,1,0,0,0,2
CATSPER4,0.0182874506270569,0.0486206,0.0193465311444881,0.499932,0.140353,0.336511,0.01,1,1,0,0,0,2
IGSF22,0.0183115575543123,0.154969,0.91193702762598,0.00968277,0.552934,0.0294124,0.01,0,0,1,0,1,2
ANKHD1,0.0184273579385904,0.57682,0.77836905146162,0.0287657,0.00518939,0.335198,0.01,0,0,1,1,0,2
ZNF408,0.0185228161687405,0.216452,0.0399768023544836,0.0339084,0.330976,0.233137,0.01,0,1,1,0,0,2
ZNF282,0.0187552858313936,0.786124,0.315874335761039,0.0103691,0.583576,0.0153522,0.01,0,0,1,0,1,2
LOC100128568,0.0188089855811317,0.804006,,0.199829,0.0232228,0.0278886,0.01,0,0,0,1,1,2
MKI67,0.019864999864284,0.566273,0.0480474902683069,0.828674,0.00345509,0.322868,0.01,0,1,0,1,0,2
ACER2,0.0199162791818282,0.0457121,0.693864835456158,0.134679,0.0124798,0.473629,0.01,1,0,0,1,0,2
PFAS,0.0199663408389479,1.0,0.532669178291854,0.214504,0.00537372,0.0412788,0.01,0,0,0,1,1,2
TFEC,0.0200094883300044,0.358235,0.575042586715779,0.0348737,0.538045,0.00657845,0.01,0,0,1,0,1,2
FLG-AS1,0.0203205373430325,0.0413821,,0.440188,0.0176725,0.360427,0.01,1,0,0,1,0,2
ABCC8,0.0204077441361515,0.893377,0.0197599536975942,0.80073,0.0200087,0.0926175,0.01,0,1,0,1,0,2
GABRB3,0.0210075116095181,0.0165333,0.153724699347084,0.668584,0.0463158,0.347724,0.01,1,0,0,1,0,2
IMPACT,0.0210187090189656,0.276623,0.126084766738735,0.0380613,0.763945,0.027007,0.01,0,0,1,0,1,2
ADAMTS17,0.0211144252432903,0.027036,0.0213587017567642,0.5544,0.740589,0.116316,0.01,1,1,0,0,0,2
SLC7A9,0.0211647084289342,0.0334223,0.0280623478225502,0.322158,0.135887,0.674082,0.01,1,1,0,0,0,2
OVOL3,0.0213494867307928,0.507678,1.0,0.0157443,0.00913754,0.383965,0.01,0,0,1,1,0,2
RNF19A,0.0214615622849296,0.0428327,0.0365645529053275,0.0604833,0.422076,0.70699,0.01,1,1,0,0,0,2
CDHR4,0.0216966602907704,0.0823712,0.53884946295914,0.025821,0.505359,0.0496165,0.01,0,0,1,0,1,2
SLC17A7,0.0217275555266272,0.0450078,0.0625389041143066,0.0201492,0.788431,0.644049,0.01,1,0,1,0,0,2
INHBA-AS1,0.0217870503755459,,,0.0281668,0.503109,0.0429189,0.01,0,0,1,0,1,2
RIPOR2,0.0219863265198198,0.137564,,0.0343071,0.0478993,0.573821,0.01,0,0,1,1,0,2
