GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
NTN4	10.512887065962333	0.0052138145438714	2.2828444208097545	NA	0.0052138145438714	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
DIS3L2	14.713783406852082	0.005333193037225767	2.273012696556255	NA	0.314197460310716	0.00203114	NA	7.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CTD-2561J22.3	10.44066993754152	0.005405518143378699	2.2671626706237253	NA	0.0054055181433787	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LIPE	14.66057560959406	0.005459545148563742	2.2628435381922287	NA	0.232736954694802	0.00281599	NA	6.0	9.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OR5B17	10.420704315763274	0.0054597506548302	2.262827190940696	NA	0.0054597506548302	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
UGT2B11	14.647820734627079	0.005490267900079182	2.2604064634392653	NA	0.524465235687262	0.00125762	NA	9.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
UNC5D	10.360772128901447	0.005625834060560297	2.2498130819194526	NA	0.0056258340605603	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
AQP6	10.33447317913341	0.005700299340936902	2.244102337537398	NA	0.0057002993409369	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ATP6V0E2	10.331824992087316	0.005707852069529697	2.243527291026815	NA	0.0057078520695297	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PRSS38	10.329940036765167	0.0057132341284347014	2.2431179781792934	NA	0.0057132341284347	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LAT2	10.323564721222514	0.005731475021019398	2.24173359599901	NA	0.0057314750210194	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LGMN	10.288606845941999	0.005832535759736897	2.2341425898323153	NA	0.0058325357597369	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CCBE1	14.495528952387986	0.005870459991178069	2.23132786744005	0.032361	0.0219944926451674	NA	2.0	11.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FER1L5	10.26427014691436	0.005903941658299204	2.228857942784593	NA	0.0059039416582992	NA	NA	16.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
