GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
AIDA	3.0152807637740344	0.8069265032033794	0.09316602005712006	0.733746	0.518452165654117	0.582084	2.0	15.0	36.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TAPBP	3.0144893936191184	0.8070260729107753	0.0931124341275437	0.657888	0.625456163342894	0.538348	12.0	41.0	90.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CTD-2550O8.5	0.4287715927753015	0.807036973006842	0.09310656836959082	NA	0.807036973006842	NA	NA	14.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ATP6V1G2-DDX39B	3.014209455594469	0.8070612914581405	0.09309348196780139	0.615765	0.555600072418176	0.647583	4.0	8.0	47.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PGA3	0.4286500977120555	0.807086	0.0930801860518177	NA	NA	0.807086	NA	NA	18.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CCDC155	0.42824339812186285	0.807250137460819	0.09299187235791122	NA	0.807250137460819	NA	NA	41.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
OR2AE1	3.012588912197471	0.8072651376899523	0.09298380242281633	1.0	0.267517597566271	0.828843	13.0	39.0	64.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
AWAT2	0.4281768460310116	0.807277	0.09297742075500331	NA	NA	0.807277	NA	NA	25.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TPT1	3.012149702394141	0.8073203760512077	0.09295408617020814	0.305826	0.924279633193183	0.784589	2.0	13.0	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ULK1	3.0120506463762204	0.8073328335387828	0.09294738477069987	0.590107	0.585214054753836	0.642238	50.0	110.0	265.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
UGT2B28	1.6080347583518588	0.8073473161810288	0.0929395940864432	NA	0.484885460697824	0.922955	NA	49.0	86.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
HBG2	1.6076439436109924	0.8074176259577	0.0929017741570472	NA	0.503742401167875	0.888579	NA	14.0	8.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TLR6	3.011289735743702	0.8074285204677293	0.0928959142482264	0.318322	0.903320106609517	0.771611	23.0	49.0	110.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
LOC105375218	0.42776562922417255	0.8074430000000001	0.09288812615996521	NA	NA	0.807443	NA	NA	44.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
