GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
LNPK	9.864336885634104	0.007210850000000002	2.1420135385328	NA	NA	NA	NA	0.00721085	NA	NA	NA	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SFRP4	9.833535945787537	0.007322760000000002	2.1353251994264006	NA	NA	NA	NA	0.00732276	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SSR3	9.832435570662932	0.007326790000000003	2.1350862560040813	NA	NA	NA	NA	0.00732679	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SERPINA4	9.826492844050449	0.0073485929311318055	2.1337958093164504	NA	0.0073485929311318	NA	NA	NA	NA	8.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
AC009950.1	9.816606855725313	0.0073850069059836045	2.1316490942275674	NA	0.0073850069059836	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
DBR1	9.800106893541953	0.007446185085739998	2.1280661729636448	NA	0.00744618508574	NA	NA	NA	NA	8.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TMEM268	9.800073342613304	0.007446309999999999	2.1280588874720574	NA	NA	NA	NA	0.00744631	NA	NA	NA	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
CKAP2	9.793975090604182	0.007469049387470197	2.1267346688736484	NA	0.0074690493874702	NA	NA	NA	NA	7.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
GPT2	9.751269337645615	0.00763025	2.117461232445934	NA	NA	NA	NA	0.00763025	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TTC31	9.738828416745411	0.007677861597856097	2.1147597207975575	NA	0.0076778615978561	NA	NA	NA	NA	7.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
EMCN	9.697545710082366	0.007837990000000005	2.105795294946662	NA	NA	NA	NA	0.00783799	NA	NA	NA	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
HPS6	17.399307723939895	0.007922504880730834	2.101137484586533	NA	0.344587877097769	0.00247396	NA	0.195477	NA	4.0	6.0	NA	15.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
