GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
RPL22L1	5.086820594922297	0.27850460821882156	0.5551676144670987	1.0	0.0785979	4.0	31.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
FLYWCH2	2.5562364261556687	0.27856099999999984	0.5550796871597483	NA	0.278561	NA	18.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
FBXW2	5.086113321960992	0.2785753101092542	0.5550573773537881	1.0	0.0786257	5.0	63.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
TFAM	2.5557554403478164	0.27862800000000004	0.5549752424186359	NA	0.278628	NA	20.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PARD6G-AS1	5.085570490197467	0.27862958407789123	0.5549727733403974	0.581236	0.13531	7.0	54.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
MARCHF9	5.085279116997061	0.27865872014204734	0.5549273619014596	0.243077	0.323595	6.0	86.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SPART	5.0843796267007555	0.2787486815424534	0.5547871781148727	0.829393	0.0948813	8.0	97.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CALCR	5.08410279614194	0.2787763733454511	0.5547440360277494	0.238733	0.329677	9.0	62.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ZNF493	5.083652451734503	0.27882142698408	0.5546738544499983	0.370635	0.212399	6.0	59.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
NDUFB7	5.082981959695491	0.2788885161727401	0.5545693683638939	0.0988126	0.796952	5.0	35.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
GLRA4	2.553438279650369	0.278951	0.5544720773663439	NA	0.278951	NA	54.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
APRT	5.081694656191003	0.27901736153512907	0.5543687724098629	0.164262	0.479719	4.0	36.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PDE9A	5.080020260458794	0.2791850259710283	0.5541078787155971	0.170406	0.46281	15.0	100.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
NXPE2	5.079214741545708	0.2792657163651117	0.553982376534365	0.102674	0.768426	9.0	62.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
LOC101928042	5.079171173876581	0.27927008118481733	0.5539755887255227	0.381579	0.20677	5.0	44.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
HECTD4	5.078403846597223	0.279346965189245	0.5538560424306249	0.916513	0.0861192	47.0	528.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
DBT	5.078250965101435	0.2793622856153339	0.5538322247597955	1.0	0.0789354	7.0	60.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
MSH6	5.077833291900661	0.27940414473410385	0.5537671557672944	0.0876289	0.90098	25.0	297.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SEMA3A	5.077054070064728	0.27948225234460755	0.5536457654288123	0.398544	0.198178	17.0	104.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CEP20	5.076096136783695	0.279578298903533	0.5534965419113798	0.370983	0.213003	6.0	32.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ANGPT2	5.076082479081897	0.2795796684857272	0.5534944144196005	0.13483	0.586079	15.0	94.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ITGB3	5.0755896683829835	0.27962909089646315	0.5534176492403691	0.212293	0.372318	14.0	129.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
HOMER3	5.074945561073185	0.2796936974872585	0.5533173197469727	0.490213	0.161289	9.0	69.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
QRSL1	5.074869112774474	0.2797013664004933	0.5533054120026422	0.830145	0.0952472	11.0	77.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RAPGEF3	5.074701199573863	0.2797182112414289	0.553279257674973	0.461198	0.171457	24.0	173.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RNF128	2.547574883883261	0.27976999999999996	0.553198857152909	NA	0.27977	NA	58.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CD7	2.547424766201651	0.279791	0.5531662595125292	NA	0.279791	NA	13.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RTN3	5.073919461623818	0.27979664549010413	0.5531574966128486	0.106274	0.744364	12.0	104.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SHISAL1	2.5473461376269446	0.27980199999999994	0.5531491855344719	NA	0.279802	NA	48.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CRPPA	5.073725492023492	0.27981610995172246	0.5531272853347988	0.113876	0.69474	6.0	44.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PIAS1	2.5471531533210645	0.27982900000000005	0.5531072795249029	NA	0.279829	NA	91.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
MEF2C-AS2	2.5469744807509374	0.279854	0.5530684812692661	NA	0.279854	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CLDN8	5.072815365381299	0.27990745461386124	0.5529855350652665	0.137983	0.573623	8.0	25.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SPOPL	5.072423025764936	0.2799468394615238	0.5529244312308592	0.319624	0.247684	5.0	72.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
POC1B-AS1	2.5458956376589343	0.280005	0.5528342134684179	NA	0.280005	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
FANCD2OS	5.071717502848415	0.28001767485840157	0.5528145549034678	0.266509	0.297152	8.0	80.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CDHR3	5.07051782679944	0.2801381586084898	0.5526277303610707	0.0792412	1.0	15.0	116.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CD300LG	5.0701597483684155	0.2801741289922386	0.5525719695307579	0.869383	0.0911628	5.0	27.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
IFITM5	2.5445175657268964	0.28019799999999995	0.552534968950543	NA	0.280198	NA	22.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RNF175	5.069488049908748	0.2802416142582332	0.5524673740438328	0.824241	0.0961879	13.0	53.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
BSCL2	5.069193197284573	0.28027124231376177	0.5524214614447311	1.0	0.0792937	12.0	73.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
OR9A4	2.5437611009773415	0.280304	0.5523707047173001	NA	0.280304	NA	27.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
TP53AIP1	2.5437254257432667	0.28030900000000003	0.5523629579386503	NA	0.280309	NA	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
LRP1	5.0684824096224945	0.2803426761774198	0.5523107851594933	0.11929	0.66495	78.0	652.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
MCM3AP-AS1	5.067906921237539	0.28040052378080793	0.5522211794539448	0.677124	0.117179	10.0	86.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
C1orf122	5.067597238278808	0.28043165701904565	0.5521729618443025	0.079357	1.0	9.0	78.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
