GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
CHMP4A	2.536107659978605	0.011209226762425866	1.9504243449780811	NA	0.284518456019511	0.671985	0.070454	0.0767965	NA	3.0	4.0	5.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
TTC31	2.5311299559617417	0.011369571504132295	1.944255902673528	NA	0.0113695715041321	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
SP100	-2.5273506524294773	0.011492669237739847	1.939579092235005	0.0731379	0.0747093231736227	NA	NA	NA	3.0	14.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ACSBG2	2.5127325096485467	0.01198001321581582	1.9215427028521566	NA	0.0119800132158156	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ERV3-1	-2.5091754083323576	0.01210133759850372	1.9171666231097484	NA	0.0121013375985041	NA	NA	NA	NA	9.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
AMPD1	2.50598697145232	0.012211011918268613	1.9132483448749062	NA	0.0122110119182686	NA	NA	NA	NA	10.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ACTN3	2.5045170556021996	0.012261869322951452	1.9114433165421318	0.278578	0.197991903192103	0.531367	0.0113858	0.941875	6.0	17.0	8.0	6.0	25.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
RMDN1	2.500737592598618	0.012393496990191846	1.906806134361677	NA	0.0123934969901917	NA	NA	NA	NA	6.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
RHOT1	2.500289638835696	0.012409180573865178	1.9062568956969375	NA	0.0873073246960329	NA	NA	0.067825	NA	3.0	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
SEMG2	2.4968460054577135	0.01253033585820241	1.9020372881910705	NA	0.0125303358582026	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ANO10	2.4875251304106922	0.012863536504720885	1.8906396166886383	NA	0.0128635365047211	NA	NA	NA	NA	10.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
RAD51AP2	2.479350915055417	0.013162174116517511	1.8806723684104643	NA	0.0131621741165176	NA	NA	NA	NA	19.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
APLP2	2.477637990556979	0.0132255256632113	1.8785870574330357	NA	0.118831174187164	NA	NA	0.0518703	NA	3.0	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
SPATA22	2.4606889922420723	0.013867051521599161	1.8580158708678605	NA	0.0138670515215994	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
DPPA2	2.4516964448118213	0.014218455226792898	1.8471475852463906	NA	NA	0.118003	NA	0.0569072	NA	NA	5.0	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CMTM2	2.4495482427278645	0.01430355473062895	1.8445560179162157	NA	NA	NA	NA	0.0143036	NA	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
RECQL4	-2.446744128686098	0.014415313569841796	1.8411759061602115	0.2466	0.0666666107120231	0.65847	0.423162	0.216626	3.0	20.0	12.0	8.0	26.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ECD	2.443250026609548	0.014555649286738342	1.8369684171328766	NA	0.123719215446128	NA	NA	0.055374	NA	7.0	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
SSR3	2.440108204271483	0.01468286326154683	1.833189245684481	NA	NA	NA	NA	0.014683	NA	NA	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
RAD51B	2.439728248728244	0.014698314087405446	1.8327324764440855	NA	0.142842719656024	NA	NA	0.0471435	NA	11.0	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
KIF6	2.4360791471867693	0.014847435441741691	1.828348554406307	NA	0.0148474354417416	NA	NA	NA	NA	13.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
C1orf94	2.4289244493736555	0.015143687633969507	1.8197683570634404	NA	0.0315328432973661	0.341047	NA	0.269316	NA	6.0	5.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
C2CD2	2.415112342975578	0.015730357078057818	1.803261418809009	NA	0.0157303570780576	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
TADA1	2.409257272778239	0.015985025150846092	1.7962866760726135	NA	0.210586026790801	NA	NA	0.0311426	NA	3.0	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
THADA	2.408630024547077	0.016012521310339367	1.795540279264017	NA	0.0160125213103393	NA	NA	NA	NA	17.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
GPRC5A	-2.3950910076407834	0.01661624041923219	1.779467232650707	NA	0.0083450592029897	NA	NA	0.453621	NA	5.0	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
SPNS1	2.392360737415553	0.01674037970492698	1.776234695573084	NA	0.0167403797049271	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ATF6	2.3906528484240797	0.016818446923299927	1.7742141110221976	NA	0.0168184469233001	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ZNF684	2.386181887823789	0.01702432875413442	1.7689300027116488	NA	0.0170243287541345	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CDRT1	-2.381122988698493	0.017259948283648734	1.762960509904681	NA	0.0172599482836487	NA	NA	NA	NA	8.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
KERA	2.3725410537398712	0.017666199762130037	1.7528568630477448	NA	NA	NA	NA	0.0176661	NA	NA	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
AMER3	2.3708471798862623	0.017747367359005038	1.7508660609894098	NA	0.0177473673590053	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
COL22A1	2.3674658919408604	0.01791037082491729	1.7468954222164	0.271443	0.0245533984262347	NA	NA	NA	3.0	29.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ZDHHC18	2.355967103552595	0.01847455368005114	1.7334260447670917	NA	0.0184745536800514	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
BCAS4	2.354673513422098	0.018538986218787364	1.731914018391325	0.227021	0.366921174565869	0.123391	NA	0.289906	3.0	3.0	4.0	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
IMP3	2.352489867733531	0.01864819781556974	1.7293631325722763	NA	0.0186481978155699	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CCR5	2.351491541029792	0.018698314765859113	1.7281975336169106	NA	0.0186983147658594	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
POP1	2.3481729772629953	0.018865757644006245	1.7243257489573414	NA	0.018865757644006	NA	NA	NA	NA	8.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
DBR1	2.347658669467346	0.018891824803125266	1.7237260905878609	NA	0.0188918248031253	NA	NA	NA	NA	8.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ARNTL2	2.341601474938998	0.019201205472220203	1.7166715049683725	NA	0.0192012054722204	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
NECAB3	2.3282951830136955	0.01989643491236195	1.701224734474422	NA	NA	NA	NA	0.0198964	NA	NA	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
MPEG1	2.319761394881565	0.02035378854056662	1.6913547417642827	NA	0.0203537885405667	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
VWA5B2	2.311023006951098	0.020831584130459616	1.681277703025946	NA	0.0208315841304595	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ARSK	2.3084880962229066	0.020972004161642813	1.678360064777772	NA	0.0209720041616429	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
MTR	2.3058681626699395	0.02111800007903275	1.675347212831693	NA	0.233498349291933	0.131873	0.109605	0.753828	NA	10.0	3.0	4.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
DQX1	-2.3054190800685377	0.021143113923527	1.6748310501310866	0.0754687	0.138140686477038	NA	NA	NA	3.0	13.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
MFSD12	2.29054466064961	0.02198976272449131	1.6577794567692719	NA	0.0219897627244912	NA	NA	NA	NA	10.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
UNC5D	2.2902025713959375	0.022009576445862548	1.657388314965717	NA	0.0220095764458622	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
FAM162A	2.286925031221888	0.02220019929818762	1.6536431267333873	NA	NA	NA	NA	0.0222003	NA	NA	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
OR6X1	2.2839341449028843	0.022375401556909195	1.6502291619389797	NA	0.0223754015569094	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
PML	2.28303557342112	0.022428273007032366	1.6492041661134906	NA	0.022428273007032	NA	NA	NA	NA	6.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
PLA2G6	2.2819548315493208	0.022492007103145393	1.6479717880091418	NA	0.0224920071031453	NA	NA	NA	NA	8.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
VPS13B	2.272079769409107	0.023081692777741372	1.6367323438233434	0.188902	0.0575148999140471	NA	NA	NA	3.0	24.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CCNC	-2.2687169557240545	0.023285543821896116	1.632913614888618	NA	NA	0.428878	0.066006	0.193588	NA	NA	3.0	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ATP6V0E1	2.263330016870701	0.02361535325048936	1.6268055536404964	NA	NA	NA	NA	0.0236154	NA	NA	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
GJA8	2.2612616174481293	0.02374306152540859	1.624463282101509	NA	NA	NA	NA	0.0237432	NA	NA	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
VPS13A	2.2596599542141735	0.02384236350377863	1.6226506949984627	NA	0.4441981521126	0.00327248	0.187013	0.612735	NA	28.0	14.0	8.0	50.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
OR8B4	2.2593926063145147	0.023858973919624667	1.622348237557004	NA	0.0238589739196252	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CYB5R1	2.258030669200932	0.02394374743256675	1.6208078772412482	NA	NA	0.0239433	NA	NA	NA	NA	3.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
FASTKD1	-2.2576936264242327	0.023964766873823994	1.620426791412618	NA	0.0239647668738239	NA	NA	NA	NA	14.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
H2AC16	2.257447562419518	0.023980122590815688	1.6201486010378916	NA	NA	NA	NA	0.0239803	NA	NA	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CD53	2.256827971627286	0.02401882618662914	1.6194482206269587	NA	0.0912296854667987	NA	NA	0.132918	NA	3.0	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
TCIRG1	2.2498713790673652	0.02445711125885204	1.611594840775958	0.302266	0.0315385302652142	NA	NA	NA	3.0	8.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ATP8B2	2.245567490489234	0.024731724760268133	1.6067455954160017	NA	0.0247317247602684	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CDK5RAP2	2.244803740961012	0.024780734517908836	1.605885824983887	NA	0.0660701874106434	0.573104	0.0395148	0.247535	NA	13.0	11.0	5.0	29.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
SFRP4	2.2447351888776597	0.024785137611884493	1.605808665465057	NA	NA	NA	NA	0.0247851	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
GDF9	2.2408322907051557	0.025036940459547057	1.601418743461583	NA	0.0579148855289338	0.824115	NA	0.0779612	NA	7.0	3.0	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
SELO	2.240617685453368	0.02505085013566176	1.6011775311555425	NA	0.0250508501356619	NA	NA	NA	NA	13.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
SLC6A12	2.2389889738699815	0.02515663359361347	1.5993474756884052	NA	0.0251566335936136	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
LIPE	2.238493207728605	0.025188909860182632	1.5987906277361854	NA	0.168503749515612	0.0248084	0.989677	0.399429	NA	6.0	9.0	4.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ANKDD1A	2.238439256325177	0.02519242446403447	1.5987300349360192	NA	0.112584046760054	0.0192026	0.794717	0.773023	NA	8.0	4.0	3.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CD44	2.235215152815017	0.02540322716278062	1.5951111081847846	NA	0.467569325430392	0.00418689	NA	0.778453	NA	5.0	3.0	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
GFM2	2.234482791666993	0.025451323572685428	1.5942896276546519	NA	0.0254513235726858	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CETN3	2.2264783512442823	0.025982157484679674	1.5853247891833966	NA	0.0259821574846793	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
LANCL1-AS1	2.226179885066265	0.026002134744362575	1.5849909955046175	NA	NA	NA	NA	0.0260022	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
TREML4	2.222524063107551	0.026247909681246965	1.580905277021717	NA	0.0102502962530394	NA	NA	0.564713	NA	4.0	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
OR4D2	2.2176316815762136	0.02657995589939692	1.5754457439600458	NA	NA	NA	NA	0.0265798	NA	NA	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
PRB1	2.214012076048052	0.026827948227641688	1.571412540428569	NA	NA	NA	NA	0.0268273	NA	NA	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
FAAH	2.2123319110167774	0.026943739740359622	1.5695421251727089	NA	0.0251894871289806	0.886526	NA	0.146868	NA	3.0	5.0	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
