GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
NMNAT3	4.46652804378765	0.107178027158213	0.9698942413415512	NA	0.107178027158213	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
NSRP1	4.465973666036323	0.10720773983287803	0.9697738597424056	NA	0.107207739832878	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
FAAH	7.603546748011245	0.10722905073402961	0.9696875386705361	NA	0.0251894871289806	0.886526	NA	3.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
C1orf87	4.4596668428519886	0.10754634356030698	0.9684043504887576	NA	0.107546343560307	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
ABCB9	7.5884814963639995	0.10787033286669094	0.9670979811176619	NA	0.116284387830837	0.193491	NA	6.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
CNDP1	4.447332759119688	0.10821163569727202	0.9657260382366222	NA	0.108211635697272	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
PCDHGA6	10.41261574348184	0.1083170965500962	0.965302989807117	0.225787	0.112128554251511	0.216528	8.0	7.0	67.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
DHX34	7.5742804400490575	0.10847809473737106	0.9646579511716351	NA	0.0234853045650048	0.964872	NA	7.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
DDIAS	4.439547662872961	0.10863367556909394	0.9640355260661027	NA	0.108633675569094	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
MUC15	4.439408697102896	0.10864122401252499	0.9640053500325461	NA	0.108641224012525	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
ZNF30	4.4383296960625875	0.10869985182283495	0.9637710479336593	NA	0.108699851822835	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
TACC2	7.568295964740593	0.10873516485657733	0.9636299827449641	0.295056	0.0770301887542613	NA	4.0	23.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
UNC5CL	7.5655271091376886	0.10885429592223805	0.9631544269030204	NA	0.713828463894768	0.031884	NA	5.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
C6orf118	4.429660250913106	0.10917205822689297	0.961888501838868	NA	0.109172058226893	NA	NA	11.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
POLR3D	4.425362640045322	0.109406899963077	0.960955287496245	NA	0.109406899963077	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
ABCB5	10.382953644385639	0.10942401211291872	0.9608873655359113	0.0199567	0.293090627721931	0.951217	7.0	13.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
CPT1A	4.4222713342688	0.10957613581024599	0.9602840189759353	NA	0.109576135810246	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
GGTLC1	7.546531981180808	0.10967484711181737	0.959892962334828	NA	0.778495257462017	0.0295145	NA	3.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
C9orf3	4.4162473663284425	0.10990667491417302	0.9589759309581056	NA	0.109906674914173	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
PASK	4.409228177206055	0.11029308044945202	0.9574517334064615	NA	0.110293080449452	NA	NA	20.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
TET2	4.408590122369634	0.11032827257948304	0.9573131815591567	NA	0.110328272579483	NA	NA	24.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
