GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_CASE_PVAL	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
VNN2	1.5719857758524078	0.8138181119801621	0.08947264890702736	0.616285963831489	0.739376	50.0	33.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TMX2-CTNND1	1.5719195073324967	0.813829978996993	0.08946631611315747	0.6902382062412	0.660181	10.0	117.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FUBP1	1.571846572772357	0.8138430396093493	0.08945934646776568	0.698299019016834	0.652584	37.0	29.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
IFIT3	1.5717655259773458	0.813857552751966	0.08945160182752503	0.558562566401137	0.815875	37.0	27.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FASTKD3	1.5715754790540903	0.8138915840442029	0.08943344226952119	0.612666188664718	0.743897	47.0	37.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
IRF1	1.5714117547645472	0.8139209010924199	0.08941779890471849	0.86345465101068	0.527877	17.0	8.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
REXO1	1.5713720906164854	0.8139280033960562	0.08941400925167443	0.564183772000323	0.807905	156.0	114.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ONECUT2	1.5703247160720366	0.814115533456556	0.08931395876901514	0.493241486863926	0.924589	25.0	30.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
MC3R	1.5701405293151796	0.8141485089060041	0.08929636818743503	0.708005057253416	0.644187	31.0	25.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PRDM11	1.5699773063040505	0.8141777304649707	0.08928078069457726	0.829791694414478	0.549686	149.0	55.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
BTF3L4	1.5694523843569552	0.8142717019858312	0.08923065778354568	0.728885798863342	0.625948	5.0	3.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CCDC155	0.41072556291030926	0.81435183107407	0.08918792277427712	0.81435183107407	NA	43.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CRTAP	1.568867709149987	0.8143763625692555	0.0891748403053492	0.494201734748742	0.923465	25.0	24.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
EPYC	1.5684573855659423	0.8144498080825745	0.08913567470038616	0.723506213052975	0.630916	30.0	19.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
