GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ADAMTS1	3.377107313917132	0.4968086773964452	0.30381082725884734	NA	0.316005245955692	0.584758	NA	3.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SLC27A5	3.376115164100943	0.4969634793765275	0.30367552532706543	NA	0.859699076255992	0.21505	NA	9.0	15.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
PELP1	1.3983346595670727	0.4969989677827521	0.3036445132520208	NA	0.496998967782752	NA	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ALS2	3.3756878321126123	0.4970301642731645	0.30361725356071323	NA	0.276670625721373	0.668368	NA	6.0	21.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
UTP14C	1.3972142586001088	0.4972774648446049	0.3034012212732853	NA	0.497277464844605	NA	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
NSMCE1	1.397007385129837	0.4973289042623421	0.30335629926998947	NA	0.497328904262342	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
AGBL1	5.368459089826788	0.49749555049354044	0.30321079914889704	0.56728	0.679533564585294	0.177111	4.0	7.0	15.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
LYZ	1.396295833619071	0.4975058733077109	0.30320178782263185	NA	0.497505873307711	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
KIF1BP	1.396187195746666	0.49753289803147405	0.30317819740837615	NA	0.497532898031474	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
YARS2	1.3956747645320573	0.4976603900571229	0.30306692438394645	NA	0.497660390057123	NA	NA	9.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SEMA4B	1.3956059063645192	0.497677524343338	0.3030519720228485	NA	0.497677524343338	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ALG2	3.3705036367322694	0.497839617170703	0.30291054598774125	NA	0.450621226903825	0.411427	NA	5.0	14.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
MRPS36	1.3944990691775707	0.49795302456530477	0.30281162538152023	NA	0.497953024565305	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
OMG	1.394418840589483	0.4979729999999999	0.3027942039649714	NA	NA	0.497973	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
LMAN1	1.3944061326074413	0.49797616412602297	0.30279144446173295	NA	0.497976164126023	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SYNC	1.394221644571392	0.49802210156697724	0.302751383393716	NA	0.498022101566977	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
IBTK	1.3941273954345308	0.498045571196576	0.3027309174536847	NA	0.498045571196576	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ERICH3-AS1	1.393692025627166	0.4981540000000001	0.30263637810122174	NA	NA	0.498154	NA	NA	14.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
H1FOO	1.3936490602002845	0.49816470181458294	0.3026270482773182	NA	0.498164701814583	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
DEPTOR	1.393443172518043	0.49821598744222295	0.30258234033517356	NA	0.498215987442223	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SEC31B	1.3932887896193515	0.49825444694073395	0.3025488165146726	NA	0.498254446940734	NA	NA	12.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
KDM1B	1.3929502853778024	0.49833878469953496	0.30247531125256977	NA	0.498338784699535	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
C16orf86	1.3924816935842492	0.498455557111109	0.3023735578374671	NA	0.498455557111109	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
PRKG2	1.3921217010514688	0.4985452853254798	0.30229538645221077	NA	0.49854528532548	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
AGBL3	1.3920902701122304	0.49855312026032983	0.30228856131047466	NA	0.49855312026033	NA	NA	11.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
HSP90AA1	3.3655523572911936	0.4986134998589764	0.3022359672384014	NA	0.535690508203313	0.346949	NA	4.0	10.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
PRKD3	1.3914249361965223	0.49871900000000013	0.3021440858863669	NA	NA	0.498719	NA	NA	10.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ZNF488	1.3912842646231875	0.4987540790268321	0.3021135394423369	NA	0.498754079026832	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ELAC2	3.3645656728304933	0.4987678111485787	0.302101582241681	NA	1.0	0.185949	NA	8.0	20.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
FAM186B	1.390795929322858	0.49887587350684914	0.302007498779211	NA	0.498875873506849	NA	NA	10.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ACVR1C	1.390711234724658	0.49889700000000003	0.3019891075808884	NA	NA	0.498897	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ANAPC2	1.3903945611593242	0.4989760000000001	0.3019203427898939	NA	NA	0.498976	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
PPM1A	1.3894969238538384	0.4992	0.30172542332563246	NA	NA	0.4992	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
