GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
NTMT1	0.46890639442413534	0.6391365454577249	0.1944063490343599	0.639138	NA	NA	3.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
B4GALT4	-0.46886877910651725	0.6391634337836973	0.19438807875071945	NA	0.639163433783698	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TRIM68	0.46883561536571267	0.6391871404097786	0.19437197103019166	NA	0.841079717017971	0.643708	NA	7.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
UROC1	-0.4687615222565218	0.6392401061414777	0.19433598505589061	NA	0.639240106141478	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZNF729	0.46870014710068775	0.6392839817905218	0.19430617732296313	NA	0.639283981790522	NA	NA	12.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
MIER2	-0.4686142139787394	0.6393454154701332	0.19426444465494228	NA	0.588050868768819	0.903645	NA	3.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
STMND1	-0.46850198351268507	0.6394256528741733	0.19420994441995074	NA	0.639425652874174	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
WDR62	-0.46839616331852396	0.6395013112197261	0.19415856071635493	0.733913	0.1529314725748	0.780981	2.0	16.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SLC16A8	-0.4683692940081318	0.6395205225882565	0.1941455141973313	NA	0.589841398247821	0.901863	NA	4.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
HTATIP2	-0.46819511397603614	0.6396450659530201	0.19406094579316238	NA	0.574872643012184	0.919361	NA	3.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SFTPD	0.4681909143691589	0.6396480689092647	0.19405890690576288	NA	0.639648068909265	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
IFT80	0.46815125896448484	0.6396764250557088	0.1940396546863474	NA	0.639676425055709	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TCF12	-0.46791421359770535	0.6398459386063207	0.19392458237161495	NA	0.577188319617698	0.916984	NA	2.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TBCE	-0.46785450434262554	0.6398886402663226	0.19389559965032255	0.757332	0.701057006779328	0.906489	2.0	2.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ASB2	-0.4678504767299866	0.6398915206959928	0.1938936446978246	NA	0.585207364021768	0.907774	NA	6.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SSTR4	-0.46778857840653887	0.6399357892324407	0.19386360067397893	NA	0.639935789232441	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZNF480	0.46768948574356883	0.6400066611413581	0.19381550588817467	NA	0.640006661141358	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
DEFB112	-0.4676572254286642	0.6400297346996142	0.19379984895988397	NA	0.640029734699614	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
EFCAB2	0.46759079861085595	0.640077246276084	0.19376761100508258	0.915378	0.578883635993694	NA	3.0	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PQLC1	0.467417376441873	0.6402012929026264	0.1936834531223624	NA	0.640201292902626	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
EML3	-0.4673821284180821	0.640226506586249	0.1936663492080745	NA	0.640226506586249	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PABPC4L	0.4673358661371806	0.6402595996396339	0.19364390127926417	NA	0.640259599639634	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
KCNK7	0.46732599687747073	0.6402666595643935	0.1936391124881812	NA	0.640266659564394	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
KL	-0.4672969043266536	0.6402874709621801	0.1936249962942543	NA	0.533479054698274	0.969565	NA	7.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SYCE1	0.4672843416787758	0.6402964577577517	0.19361890076917507	NA	0.551091431474033	0.948402	NA	9.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OR52A1	0.46727469624222007	0.6403033577375281	0.19361422073860513	NA	0.640303357737528	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
HK3	-0.467151278883021	0.6403916485836924	0.193554340396817	0.786172	0.351369398024983	NA	2.0	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RP11-321N4.5	-0.4671504558712106	0.6403922373705413	0.19355394109935187	NA	0.640392237370541	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
